Date,Generated,,Efficiency
3/22/2024,459.317kWh,,4.082817778
3/21/2024,598.783kWh,,5.322515556
3/20/2024,353.209kWh,,3.139635556
3/19/2024,567.466kWh,,5.044142222
3/18/2024,334.481kWh,,2.973164444
3/17/2024,471.322kWh,,4.189528889
3/16/2024,497.114kWh,,4.418791111
3/15/2024,128.632kWh,,1.143395556
3/14/2024,667.855kWh,,5.936488889
3/13/2024,625.936kWh,,5.563875556
3/12/2024,733.713kWh,,6.521893333
3/11/2024,478.394kWh,,4.252391111
3/10/2024,209.171kWh,,1.859297778
3/9/2024,198.313kWh,,1.762782222
3/8/2024,701.856kWh,,6.23872
3/7/2024,282.632kWh,,2.512284444
3/6/2024,133.699kWh,,1.188435556
