Date,Generated,Efficiency
7/22/2024,393.604kWh,3.498702222
7/21/2024,421.886kWh,3.750097778
7/20/2024,469.876kWh,4.176675556
7/19/2024,519.549kWh,4.618213333
7/18/2024,513.628kWh,4.565582222
7/17/2024,292.477kWh,2.599795556
7/16/2024,447.602kWh,3.978684444
7/15/2024,431.639kWh,3.836791111
7/14/2024,507.859kWh,4.514302222
7/13/2024,487.564kWh,4.333902222
7/12/2024,337.708kWh,3.001848889
7/11/2024,346.174kWh,3.077102222
7/10/2024,404.685kWh,3.5972
7/9/2024,397.296kWh,3.53152
7/8/2024,500.856kWh,4.452053333
7/7/2024,499.168kWh,4.437048889
7/6/2024,401.650kWh,3.570222222
7/5/2024,326.540kWh,2.902577778
7/4/2024,426.341kWh,3.789697778
7/3/2024,496.475kWh,4.413111111
7/2/2024,545.072kWh,4.845084444
7/1/2024,437.296kWh,3.887075556
6/30/2024,363.639kWh,3.232346667
6/29/2024,118.033kWh,1.049182222
6/28/2024,579.067kWh,5.147262222
6/27/2024,486.057kWh,4.320506667
6/26/2024,430.993kWh,3.831048889
6/25/2024,506.653kWh,4.503582222
6/24/2024,302.708kWh,2.690737778
6/23/2024,349.096kWh,3.103075556
6/22/2024,194.284kWh,1.726968889
6/21/2024,313.020kWh,2.7824
6/20/2024,426.322kWh,3.789528889
6/19/2024,449.839kWh,3.998568889
6/18/2024,473.288kWh,4.207004444
6/17/2024,460.082kWh,4.089617778
6/16/2024,530.063kWh,4.711671111
6/15/2024,586.858kWh,5.216515556
6/14/2024,371.195kWh,3.299511111
6/13/2024,532.118kWh,4.729937778
