Date,Generated,Efficiency,System Name,Location,System Size (kW)
3/28/2025,427.154kWh,3.797kWh/kW,DeCrescent 178kW PV,United States,112.5
3/27/2025,743.860kWh,6.612kWh/kW,DeCrescent 178kW PV,United States,112.5
3/26/2025,565.422kWh,5.026kWh/kW,DeCrescent 178kW PV,United States,112.5
3/25/2025,242.491kWh,2.155kWh/kW,DeCrescent 178kW PV,United States,112.5
3/24/2025,83.653kWh,0.744kWh/kW,DeCrescent 178kW PV,United States,112.5
3/23/2025,721.635kWh,6.415kWh/kW,DeCrescent 178kW PV,United States,112.5
3/22/2025,456.103kWh,4.054kWh/kW,DeCrescent 178kW PV,United States,112.5
3/21/2025,653.259kWh,5.807kWh/kW,DeCrescent 178kW PV,United States,112.5
3/20/2025,390.337kWh,3.470kWh/kW,DeCrescent 178kW PV,United States,112.5
3/19/2025,630.139kWh,5.601kWh/kW,DeCrescent 178kW PV,United States,112.5
3/18/2025,680.718kWh,6.051kWh/kW,DeCrescent 178kW PV,United States,112.5
3/17/2025,123.363kWh,1.097kWh/kW,DeCrescent 178kW PV,United States,112.5
3/16/2025,113.636kWh,1.010kWh/kW,DeCrescent 178kW PV,United States,112.5
3/15/2025,536.097kWh,4.765kWh/kW,DeCrescent 178kW PV,United States,112.5
3/14/2025,622.458kWh,5.533kWh/kW,DeCrescent 178kW PV,United States,112.5
3/13/2025,528.408kWh,4.697kWh/kW,DeCrescent 178kW PV,United States,112.5
3/12/2025,459.667kWh,4.086kWh/kW,DeCrescent 178kW PV,United States,112.5
3/11/2025,617.502kWh,5.489kWh/kW,DeCrescent 178kW PV,United States,112.5
3/10/2025,637.430kWh,5.666kWh/kW,DeCrescent 178kW PV,United States,112.5
3/9/2025,218.945kWh,1.946kWh/kW,DeCrescent 178kW PV,United States,112.5
3/8/2025,530.247kWh,4.713kWh/kW,DeCrescent 178kW PV,United States,112.5
3/7/2025,458.514kWh,4.076kWh/kW,DeCrescent 178kW PV,United States,112.5
3/6/2025,166.168kWh,1.477kWh/kW,DeCrescent 178kW PV,United States,112.5
3/5/2025,60.405kWh,0.537kWh/kW,DeCrescent 178kW PV,United States,112.5
3/4/2025,214.533kWh,1.907kWh/kW,DeCrescent 178kW PV,United States,112.5
3/3/2025,641.479kWh,5.702kWh/kW,DeCrescent 178kW PV,United States,112.5
3/2/2025,663.842kWh,5.901kWh/kW,DeCrescent 178kW PV,United States,112.5
3/1/2025,175.559kWh,1.561kWh/kW,DeCrescent 178kW PV,United States,112.5
2/28/2025,587.505kWh,5.222kWh/kW,DeCrescent 178kW PV,United States,112.5
2/27/2025,52.438kWh,0.466kWh/kW,DeCrescent 178kW PV,United States,112.5
2/26/2025,422.929kWh,3.759kWh/kW,DeCrescent 178kW PV,United States,112.5
2/25/2025,133.517kWh,1.187kWh/kW,DeCrescent 178kW PV,United States,112.5
2/24/2025,7.707kWh,0.069kWh/kW,DeCrescent 178kW PV,United States,112.5
