Date,Generated,Efficiency
7/23/2024,474.361kWh,3.09756432
7/22/2024,317.669kWh,2.074369858
7/21/2024,0.000kWh,0
7/20/2024,412.987kWh,2.696793783
7/19/2024,321.079kWh,2.096637064
7/18/2024,374.332kWh,2.444377694
7/17/2024,429.713kWh,2.806014105
7/16/2024,335.907kWh,2.193463497
7/15/2024,229.115kWh,1.496114666
7/14/2024,0.000kWh,0
7/13/2024,437.632kWh,2.857724958
7/12/2024,510.507kWh,3.333596709
7/11/2024,400.282kWh,2.613830482
7/10/2024,247.551kWh,1.616501241
7/9/2024,312.152kWh,2.038343999
7/8/2024,397.750kWh,2.597296591
7/7/2024,0.000kWh,0
7/6/2024,589.808kWh,3.851430064
7/5/2024,595.314kWh,3.887384093
7/4/2024,240.026kWh,1.567363197
7/3/2024,477.706kWh,3.119407078
7/2/2024,588.471kWh,3.842699491
7/1/2024,409.641kWh,2.674944495
6/18/2024,632.523kWh,4.130357842
6/17/2024,241.756kWh,1.57866005
6/16/2024,0.000kWh,0
6/15/2024,663.566kWh,4.333067781
6/14/2024,666.731kWh,4.353735144
6/13/2024,611.632kWh,3.993940185
6/12/2024,445.097kWh,2.906471203
6/11/2024,500.667kWh,3.269341779
6/10/2024,9.031kWh,0.058972182
6/9/2024,0.000kWh,0
6/8/2024,468.476kWh,3.059135432
6/7/2024,507.285kWh,3.312557137
6/6/2024,525.094kWh,3.428849419
6/5/2024,517.962kWh,3.382277654
6/4/2024,440.862kWh,2.878816769
6/3/2024,0.000kWh,0
6/2/2024,0.000kWh,0
