Date,Generated,Efficiency,System Name,Location,System Size (kW)
3/29/2025,552.301kWh,3.607kWh/kW,FRECON,Thailand,153.14
3/28/2025,600.951kWh,3.924kWh/kW,FRECON,Thailand,153.14
3/27/2025,536.289kWh,3.502kWh/kW,FRECON,Thailand,153.14
3/26/2025,459.334kWh,2.999kWh/kW,FRECON,Thailand,153.14
3/25/2025,513.550kWh,3.353kWh/kW,FRECON,Thailand,153.14
3/24/2025,532.795kWh,3.479kWh/kW,FRECON,Thailand,153.14
3/23/2025,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
3/22/2025,570.502kWh,3.725kWh/kW,FRECON,Thailand,153.14
3/21/2025,476.074kWh,3.109kWh/kW,FRECON,Thailand,153.14
3/20/2025,484.472kWh,3.164kWh/kW,FRECON,Thailand,153.14
3/19/2025,574.988kWh,3.755kWh/kW,FRECON,Thailand,153.14
3/18/2025,359.389kWh,2.347kWh/kW,FRECON,Thailand,153.14
3/17/2025,538.612kWh,3.517kWh/kW,FRECON,Thailand,153.14
3/16/2025,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
3/15/2025,584.473kWh,3.817kWh/kW,FRECON,Thailand,153.14
3/14/2025,528.961kWh,3.454kWh/kW,FRECON,Thailand,153.14
3/13/2025,541.685kWh,3.537kWh/kW,FRECON,Thailand,153.14
3/12/2025,613.369kWh,4.005kWh/kW,FRECON,Thailand,153.14
3/11/2025,513.916kWh,3.356kWh/kW,FRECON,Thailand,153.14
3/10/2025,525.985kWh,3.435kWh/kW,FRECON,Thailand,153.14
3/9/2025,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
3/8/2025,393.020kWh,2.566kWh/kW,FRECON,Thailand,153.14
3/7/2025,321.978kWh,2.103kWh/kW,FRECON,Thailand,153.14
3/6/2025,591.393kWh,3.862kWh/kW,FRECON,Thailand,153.14
3/5/2025,562.600kWh,3.674kWh/kW,FRECON,Thailand,153.14
3/4/2025,582.986kWh,3.807kWh/kW,FRECON,Thailand,153.14
3/3/2025,586.453kWh,3.830kWh/kW,FRECON,Thailand,153.14
3/2/2025,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
3/1/2025,518.429kWh,3.385kWh/kW,FRECON,Thailand,153.14
2/28/2025,587.190kWh,3.834kWh/kW,FRECON,Thailand,153.14
2/27/2025,550.964kWh,3.598kWh/kW,FRECON,Thailand,153.14
2/26/2025,505.228kWh,3.299kWh/kW,FRECON,Thailand,153.14
2/25/2025,336.809kWh,2.199kWh/kW,FRECON,Thailand,153.14
2/24/2025,202.907kWh,1.325kWh/kW,FRECON,Thailand,153.14
2/23/2025,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
2/22/2025,441.377kWh,2.882kWh/kW,FRECON,Thailand,153.14
2/21/2025,412.517kWh,2.694kWh/kW,FRECON,Thailand,153.14
2/20/2025,457.787kWh,2.989kWh/kW,FRECON,Thailand,153.14
2/19/2025,323.038kWh,2.109kWh/kW,FRECON,Thailand,153.14
2/18/2025,290.341kWh,1.896kWh/kW,FRECON,Thailand,153.14
2/17/2025,383.960kWh,2.507kWh/kW,FRECON,Thailand,153.14
2/16/2025,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
2/15/2025,467.441kWh,3.052kWh/kW,FRECON,Thailand,153.14
2/14/2025,452.772kWh,2.957kWh/kW,FRECON,Thailand,153.14
2/13/2025,475.952kWh,3.108kWh/kW,FRECON,Thailand,153.14
2/11/2025,486.393kWh,3.176kWh/kW,FRECON,Thailand,153.14
2/10/2025,490.736kWh,3.204kWh/kW,FRECON,Thailand,153.14
2/9/2025,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
2/8/2025,423.993kWh,2.769kWh/kW,FRECON,Thailand,153.14
2/7/2025,433.065kWh,2.828kWh/kW,FRECON,Thailand,153.14
2/6/2025,445.176kWh,2.907kWh/kW,FRECON,Thailand,153.14
2/5/2025,401.220kWh,2.620kWh/kW,FRECON,Thailand,153.14
2/4/2025,412.910kWh,2.696kWh/kW,FRECON,Thailand,153.14
2/3/2025,447.597kWh,2.923kWh/kW,FRECON,Thailand,153.14
2/2/2025,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
2/1/2025,452.600kWh,2.955kWh/kW,FRECON,Thailand,153.14
1/31/2025,436.208kWh,2.848kWh/kW,FRECON,Thailand,153.14
1/30/2025,479.237kWh,3.129kWh/kW,FRECON,Thailand,153.14
1/29/2025,470.399kWh,3.072kWh/kW,FRECON,Thailand,153.14
1/28/2025,443.762kWh,2.898kWh/kW,FRECON,Thailand,153.14
1/27/2025,412.545kWh,2.694kWh/kW,FRECON,Thailand,153.14
1/26/2025,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
1/25/2025,452.025kWh,2.952kWh/kW,FRECON,Thailand,153.14
1/24/2025,410.298kWh,2.679kWh/kW,FRECON,Thailand,153.14
1/23/2025,356.659kWh,2.329kWh/kW,FRECON,Thailand,153.14
1/22/2025,432.132kWh,2.822kWh/kW,FRECON,Thailand,153.14
1/21/2025,468.193kWh,3.057kWh/kW,FRECON,Thailand,153.14
1/20/2025,447.781kWh,2.924kWh/kW,FRECON,Thailand,153.14
1/19/2025,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
1/18/2025,481.104kWh,3.142kWh/kW,FRECON,Thailand,153.14
1/17/2025,436.686kWh,2.852kWh/kW,FRECON,Thailand,153.14
1/16/2025,403.837kWh,2.637kWh/kW,FRECON,Thailand,153.14
1/15/2025,455.201kWh,2.972kWh/kW,FRECON,Thailand,153.14
1/14/2025,385.362kWh,2.516kWh/kW,FRECON,Thailand,153.14
1/13/2025,462.396kWh,3.019kWh/kW,FRECON,Thailand,153.14
1/12/2025,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
1/11/2025,482.617kWh,3.151kWh/kW,FRECON,Thailand,153.14
1/10/2025,480.873kWh,3.140kWh/kW,FRECON,Thailand,153.14
1/9/2025,460.793kWh,3.009kWh/kW,FRECON,Thailand,153.14
1/8/2025,442.580kWh,2.890kWh/kW,FRECON,Thailand,153.14
1/7/2025,476.624kWh,3.112kWh/kW,FRECON,Thailand,153.14
1/6/2025,0.008kWh,0.000kWh/kW,FRECON,Thailand,153.14
1/5/2025,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
1/4/2025,462.566kWh,3.021kWh/kW,FRECON,Thailand,153.14
1/3/2025,410.339kWh,2.680kWh/kW,FRECON,Thailand,153.14
12/28/2024,181.671kWh,1.186kWh/kW,FRECON,Thailand,153.14
12/27/2024,418.615kWh,2.734kWh/kW,FRECON,Thailand,153.14
12/26/2024,279.675kWh,1.826kWh/kW,FRECON,Thailand,153.14
12/25/2024,435.148kWh,2.842kWh/kW,FRECON,Thailand,153.14
12/24/2024,443.195kWh,2.894kWh/kW,FRECON,Thailand,153.14
12/23/2024,469.932kWh,3.069kWh/kW,FRECON,Thailand,153.14
12/22/2024,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
12/21/2024,459.509kWh,3.001kWh/kW,FRECON,Thailand,153.14
12/20/2024,447.080kWh,2.919kWh/kW,FRECON,Thailand,153.14
12/19/2024,494.688kWh,3.230kWh/kW,FRECON,Thailand,153.14
12/18/2024,480.825kWh,3.140kWh/kW,FRECON,Thailand,153.14
12/17/2024,478.214kWh,3.123kWh/kW,FRECON,Thailand,153.14
12/16/2024,356.185kWh,2.326kWh/kW,FRECON,Thailand,153.14
12/15/2024,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
12/14/2024,210.560kWh,1.375kWh/kW,FRECON,Thailand,153.14
12/13/2024,237.010kWh,1.548kWh/kW,FRECON,Thailand,153.14
12/12/2024,418.163kWh,2.731kWh/kW,FRECON,Thailand,153.14
12/11/2024,474.483kWh,3.098kWh/kW,FRECON,Thailand,153.14
12/10/2024,451.874kWh,2.951kWh/kW,FRECON,Thailand,153.14
12/9/2024,347.213kWh,2.267kWh/kW,FRECON,Thailand,153.14
12/8/2024,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
12/7/2024,404.991kWh,2.645kWh/kW,FRECON,Thailand,153.14
12/6/2024,418.638kWh,2.734kWh/kW,FRECON,Thailand,153.14
12/4/2024,378.832kWh,2.474kWh/kW,FRECON,Thailand,153.14
12/3/2024,452.960kWh,2.958kWh/kW,FRECON,Thailand,153.14
12/2/2024,405.655kWh,2.649kWh/kW,FRECON,Thailand,153.14
12/1/2024,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
11/30/2024,469.419kWh,3.065kWh/kW,FRECON,Thailand,153.14
11/29/2024,466.576kWh,3.047kWh/kW,FRECON,Thailand,153.14
11/28/2024,522.894kWh,3.414kWh/kW,FRECON,Thailand,153.14
11/27/2024,466.327kWh,3.045kWh/kW,FRECON,Thailand,153.14
11/26/2024,496.071kWh,3.239kWh/kW,FRECON,Thailand,153.14
11/25/2024,386.919kWh,2.527kWh/kW,FRECON,Thailand,153.14
11/24/2024,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
11/23/2024,404.114kWh,2.639kWh/kW,FRECON,Thailand,153.14
11/22/2024,475.052kWh,3.102kWh/kW,FRECON,Thailand,153.14
11/21/2024,440.582kWh,2.877kWh/kW,FRECON,Thailand,153.14
11/20/2024,510.224kWh,3.332kWh/kW,FRECON,Thailand,153.14
