Date,Generated,Efficiency
8/2/2024,261.564kWh,4.024061538
8/1/2024,144.192kWh,2.218338462
7/31/2024,201.093kWh,3.093738462
7/30/2024,259.977kWh,3.999646154
7/29/2024,275.082kWh,4.232030769
7/28/2024,139.653kWh,2.148507692
7/27/2024,229.005kWh,3.523153846
7/26/2024,260.835kWh,4.012846154
7/25/2024,267.117kWh,4.109492308
7/24/2024,212.280kWh,3.265846154
7/23/2024,240.225kWh,3.695769231
7/22/2024,141.963kWh,2.184046154
7/21/2024,226.875kWh,3.490384615
7/20/2024,274.947kWh,4.229953846
7/19/2024,273.399kWh,4.206138462
7/18/2024,276.369kWh,4.251830769
7/17/2024,211.767kWh,3.257953846
7/16/2024,219.954kWh,3.383907692
7/15/2024,203.769kWh,3.134907692
7/14/2024,252.792kWh,3.889107692
7/13/2024,154.554kWh,2.377753846
7/12/2024,138.075kWh,2.124230769
7/11/2024,227.199kWh,3.495369231
7/10/2024,134.598kWh,2.070738462
7/9/2024,276.546kWh,4.254553846
7/8/2024,277.359kWh,4.267061538
7/7/2024,127.083kWh,1.955123077
7/6/2024,144.888kWh,2.229046154
7/5/2024,262.194kWh,4.033753846
7/4/2024,212.451kWh,3.268476923
7/3/2024,114.687kWh,1.764415385
7/2/2024,149.772kWh,2.304184615
7/1/2024,263.340kWh,4.051384615
6/30/2024,172.926kWh,2.6604
6/29/2024,168.015kWh,2.584846154
6/28/2024,225.489kWh,3.469061538
6/27/2024,251.454kWh,3.868523077
6/26/2024,188.838kWh,2.9052
6/25/2024,292.017kWh,4.492569231
6/24/2024,246.327kWh,3.789646154
