Date,Generated,Efficiency,System Name,Location,System Size (kW)
3/30/2025,178.659kWh,2.749kWh/kW,Feuerwehr,Switzerland,65
3/29/2025,78.258kWh,1.204kWh/kW,Feuerwehr,Switzerland,65
3/28/2025,100.611kWh,1.548kWh/kW,Feuerwehr,Switzerland,65
3/27/2025,103.293kWh,1.589kWh/kW,Feuerwehr,Switzerland,65
3/26/2025,102.417kWh,1.576kWh/kW,Feuerwehr,Switzerland,65
3/25/2025,114.534kWh,1.762kWh/kW,Feuerwehr,Switzerland,65
3/24/2025,145.728kWh,2.242kWh/kW,Feuerwehr,Switzerland,65
3/23/2025,116.982kWh,1.800kWh/kW,Feuerwehr,Switzerland,65
3/22/2025,195.345kWh,3.005kWh/kW,Feuerwehr,Switzerland,65
3/21/2025,130.860kWh,2.013kWh/kW,Feuerwehr,Switzerland,65
3/20/2025,185.175kWh,2.849kWh/kW,Feuerwehr,Switzerland,65
3/19/2025,215.589kWh,3.317kWh/kW,Feuerwehr,Switzerland,65
3/18/2025,221.073kWh,3.401kWh/kW,Feuerwehr,Switzerland,65
3/17/2025,170.718kWh,2.626kWh/kW,Feuerwehr,Switzerland,65
3/16/2025,33.231kWh,0.511kWh/kW,Feuerwehr,Switzerland,65
3/15/2025,28.965kWh,0.446kWh/kW,Feuerwehr,Switzerland,65
3/14/2025,101.031kWh,1.554kWh/kW,Feuerwehr,Switzerland,65
3/13/2025,58.743kWh,0.904kWh/kW,Feuerwehr,Switzerland,65
3/12/2025,53.427kWh,0.822kWh/kW,Feuerwehr,Switzerland,65
3/11/2025,150.768kWh,2.320kWh/kW,Feuerwehr,Switzerland,65
3/10/2025,72.438kWh,1.114kWh/kW,Feuerwehr,Switzerland,65
3/9/2025,163.203kWh,2.511kWh/kW,Feuerwehr,Switzerland,65
3/8/2025,178.200kWh,2.742kWh/kW,Feuerwehr,Switzerland,65
3/7/2025,174.522kWh,2.685kWh/kW,Feuerwehr,Switzerland,65
3/6/2025,171.021kWh,2.631kWh/kW,Feuerwehr,Switzerland,65
3/5/2025,172.404kWh,2.652kWh/kW,Feuerwehr,Switzerland,65
3/4/2025,172.509kWh,2.654kWh/kW,Feuerwehr,Switzerland,65
3/3/2025,171.654kWh,2.641kWh/kW,Feuerwehr,Switzerland,65
3/2/2025,125.484kWh,1.931kWh/kW,Feuerwehr,Switzerland,65
