Date,Generated,Efficiency
8/3/2024,254.965kWh,2.777396514
8/2/2024,320.914kWh,3.495795207
8/1/2024,331.826kWh,3.614662309
7/31/2024,388.850kWh,4.23583878
7/30/2024,444.415kWh,4.841122004
7/29/2024,333.366kWh,3.631437908
7/28/2024,297.332kWh,3.238910675
7/27/2024,427.559kWh,4.657505447
7/26/2024,394.815kWh,4.300816993
7/25/2024,438.889kWh,4.780925926
7/24/2024,295.588kWh,3.219912854
7/23/2024,353.539kWh,3.851187364
7/22/2024,274.410kWh,2.989215686
7/21/2024,400.992kWh,4.368104575
7/20/2024,178.828kWh,1.948017429
7/19/2024,421.869kWh,4.595522876
7/18/2024,413.578kWh,4.505206972
7/17/2024,408.033kWh,4.444803922
7/16/2024,448.261kWh,4.883017429
7/15/2024,437.926kWh,4.77043573
7/14/2024,442.056kWh,4.815424837
7/13/2024,433.106kWh,4.717930283
7/12/2024,358.829kWh,3.908812636
7/11/2024,425.554kWh,4.635664488
7/10/2024,427.083kWh,4.652320261
7/9/2024,441.875kWh,4.813453159
7/8/2024,399.633kWh,4.353300654
7/7/2024,301.558kWh,3.284945534
7/6/2024,484.836kWh,5.281437908
7/5/2024,387.717kWh,4.223496732
7/4/2024,319.226kWh,3.477407407
7/3/2024,329.728kWh,3.591808279
7/2/2024,287.930kWh,3.136492375
7/1/2024,76.691kWh,0.835413943
6/30/2024,348.273kWh,3.793823529
6/29/2024,420.093kWh,4.576176471
6/28/2024,375.493kWh,4.090337691
6/27/2024,327.264kWh,3.56496732
6/26/2024,280.265kWh,3.052995643
6/25/2024,300.480kWh,3.273202614
