Date,Generated,Efficiency,System Name,Location,System Size (kW)
3/31/2025,0.000kWh,0.000kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/30/2025,194.935kWh,2.123kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/29/2025,60.475kWh,0.659kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/28/2025,62.267kWh,0.678kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/27/2025,135.810kWh,1.479kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/26/2025,161.240kWh,1.756kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/25/2025,148.946kWh,1.623kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/24/2025,311.356kWh,3.392kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/23/2025,116.780kWh,1.272kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/22/2025,208.547kWh,2.272kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/21/2025,265.020kWh,2.887kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/20/2025,339.058kWh,3.693kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/19/2025,341.284kWh,3.718kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/18/2025,344.189kWh,3.749kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/17/2025,175.275kWh,1.909kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/16/2025,155.356kWh,1.692kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/15/2025,131.078kWh,1.428kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/14/2025,65.507kWh,0.714kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/13/2025,245.179kWh,2.671kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/12/2025,169.499kWh,1.846kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/11/2025,185.202kWh,2.017kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/10/2025,72.799kWh,0.793kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/9/2025,274.875kWh,2.994kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/8/2025,262.091kWh,2.855kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/7/2025,260.782kWh,2.841kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/6/2025,282.875kWh,3.081kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/5/2025,275.570kWh,3.002kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/4/2025,249.888kWh,2.722kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/3/2025,275.569kWh,3.002kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/2/2025,254.847kWh,2.776kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
3/1/2025,126.331kWh,1.376kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/28/2025,95.497kWh,1.040kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/27/2025,113.185kWh,1.233kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/26/2025,50.079kWh,0.546kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/25/2025,188.556kWh,2.054kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/24/2025,176.296kWh,1.920kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/23/2025,156.593kWh,1.706kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/22/2025,225.460kWh,2.456kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/21/2025,219.919kWh,2.396kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/20/2025,227.287kWh,2.476kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/19/2025,133.785kWh,1.457kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/18/2025,112.177kWh,1.222kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/17/2025,100.256kWh,1.092kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/16/2025,34.836kWh,0.379kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/15/2025,69.624kWh,0.758kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/14/2025,9.760kWh,0.106kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/13/2025,125.777kWh,1.370kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/12/2025,86.875kWh,0.946kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/11/2025,45.164kWh,0.492kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/10/2025,43.790kWh,0.477kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/9/2025,132.841kWh,1.447kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/8/2025,180.839kWh,1.970kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/7/2025,68.074kWh,0.742kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/6/2025,181.991kWh,1.982kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/5/2025,181.475kWh,1.977kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/4/2025,160.977kWh,1.754kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/3/2025,31.803kWh,0.346kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/2/2025,30.332kWh,0.330kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2/1/2025,66.505kWh,0.724kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/31/2025,64.120kWh,0.698kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/30/2025,133.764kWh,1.457kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/29/2025,177.232kWh,1.931kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/28/2025,25.938kWh,0.283kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/27/2025,121.766kWh,1.326kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/26/2025,57.441kWh,0.626kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/25/2025,65.886kWh,0.718kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/24/2025,86.703kWh,0.944kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/23/2025,121.229kWh,1.321kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/22/2025,52.435kWh,0.571kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/21/2025,127.022kWh,1.384kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/20/2025,91.879kWh,1.001kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/19/2025,135.263kWh,1.473kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/18/2025,122.955kWh,1.339kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/17/2025,85.512kWh,0.932kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/16/2025,52.730kWh,0.574kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/15/2025,85.335kWh,0.930kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/14/2025,124.003kWh,1.351kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/13/2025,122.729kWh,1.337kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/12/2025,113.419kWh,1.236kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/11/2025,112.572kWh,1.226kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/10/2025,108.705kWh,1.184kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/9/2025,40.611kWh,0.442kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/8/2025,109.968kWh,1.198kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/7/2025,46.675kWh,0.508kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/6/2025,55.418kWh,0.604kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/5/2025,75.069kWh,0.818kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/4/2025,58.322kWh,0.635kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/3/2025,106.546kWh,1.161kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/2/2025,81.525kWh,0.888kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
1/1/2025,81.498kWh,0.888kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
12/31/2024,82.069kWh,0.894kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
12/30/2024,82.513kWh,0.899kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
12/29/2024,92.059kWh,1.003kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
12/28/2024,97.005kWh,1.057kWh/kW,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
