Date,Generated (kWh),Efficiency,System Name,Location,System Size (kW),Solar_Irradiance,Temperature_2m,Cloud_Cover
9/22/2023,180.33,3.6066,Wray Farms,United Kingdom,50,13.88,12.6,49
9/23/2023,140.38,2.8076,Wray Farms,United Kingdom,50,12.45,12.9,41
9/24/2023,86.931,1.73862,Wray Farms,United Kingdom,50,7.79,16.9,97
9/25/2023,171.482,3.42964,Wray Farms,United Kingdom,50,13.06,17.4,59
9/26/2023,123.231,2.46462,Wray Farms,United Kingdom,50,9.27,16.1,74
9/27/2023,81.857,1.63714,Wray Farms,United Kingdom,50,6.6,16.1,88
9/28/2023,80.369,1.60738,Wray Farms,United Kingdom,50,6.74,16.3,86
9/29/2023,171.036,3.42072,Wray Farms,United Kingdom,50,13.17,15.6,37
9/30/2023,82.785,1.6557,Wray Farms,United Kingdom,50,7.28,13.8,89
10/1/2023,42.908,0.85816,Wray Farms,United Kingdom,50,6.45,18.5,95
10/2/2023,71.588,1.43176,Wray Farms,United Kingdom,50,8.4,17.2,99
10/3/2023,138.924,2.77848,Wray Farms,United Kingdom,50,11.61,13.7,57
10/4/2023,113.446,2.26892,Wray Farms,United Kingdom,50,8.3,13.9,89
10/5/2023,70.518,1.41036,Wray Farms,United Kingdom,50,5.23,14.8,97
10/6/2023,100.808,2.01616,Wray Farms,United Kingdom,50,7.15,17.5,99
10/7/2023,70.655,1.4131,Wray Farms,United Kingdom,50,6.98,18.5,99
10/8/2023,107.728,2.15456,Wray Farms,United Kingdom,50,9.87,17,96
10/9/2023,117.388,2.34776,Wray Farms,United Kingdom,50,10.31,18.1,82
10/10/2023,115.987,2.31974,Wray Farms,United Kingdom,50,9.4,17.2,98
10/11/2023,33.279,0.66558,Wray Farms,United Kingdom,50,2.06,16.4,100
10/12/2023,54.853,1.09706,Wray Farms,United Kingdom,50,5.92,11.8,93
10/13/2023,25.562,0.51124,Wray Farms,United Kingdom,50,3.81,14.9,86
10/14/2023,144.956,2.89912,Wray Farms,United Kingdom,50,10.44,9.4,11
10/15/2023,164.794,3.29588,Wray Farms,United Kingdom,50,10.77,6.3,22
10/16/2023,83.941,1.67882,Wray Farms,United Kingdom,50,7.03,6.7,100
10/17/2023,135.057,2.70114,Wray Farms,United Kingdom,50,9.09,10.6,96
10/18/2023,75.087,1.50174,Wray Farms,United Kingdom,50,5.67,12.5,100
10/19/2023,54.443,1.08886,Wray Farms,United Kingdom,50,6.34,15.5,81
10/20/2023,7.098,0.14196,Wray Farms,United Kingdom,50,1.02,12.9,100
10/21/2023,44.935,0.8987,Wray Farms,United Kingdom,50,2.5,10.6,94
10/22/2023,114.645,2.2929,Wray Farms,United Kingdom,50,7.27,9.2,50
10/23/2023,70.779,1.41558,Wray Farms,United Kingdom,50,6.6,9.7,77
10/24/2023,29.394,0.58788,Wray Farms,United Kingdom,50,2.78,10.1,85
10/25/2023,64.144,1.28288,Wray Farms,United Kingdom,50,5.07,8.1,93
10/26/2023,33.157,0.66314,Wray Farms,United Kingdom,50,4.38,9.3,71
10/27/2023,27.799,0.55598,Wray Farms,United Kingdom,50,3.95,7.6,75
10/28/2023,48.429,0.96858,Wray Farms,United Kingdom,50,4.47,9.4,68
10/29/2023,85.501,1.71002,Wray Farms,United Kingdom,50,6.5,10.5,62
10/30/2023,81.167,1.62334,Wray Farms,United Kingdom,50,5.94,10,48
10/31/2023,22.727,0.45454,Wray Farms,United Kingdom,50,2.57,7.6,92
11/1/2023,57.169,1.14338,Wray Farms,United Kingdom,50,3.74,10.7,87
11/2/2023,45.145,0.9029,Wray Farms,United Kingdom,50,2.52,10,99
11/3/2023,87.143,1.74286,Wray Farms,United Kingdom,50,5.82,9.5,49
11/4/2023,18.954,0.37908,Wray Farms,United Kingdom,50,1.39,7.2,81
11/5/2023,80.812,1.61624,Wray Farms,United Kingdom,50,6.02,8.7,54
11/6/2023,97.849,1.95698,Wray Farms,United Kingdom,50,6.33,8.3,24
11/7/2023,81.586,1.63172,Wray Farms,United Kingdom,50,5.34,7.8,15
11/8/2023,19.745,0.3949,Wray Farms,United Kingdom,50,1.44,8.2,100
11/9/2023,83.688,1.67376,Wray Farms,United Kingdom,50,5.03,7.2,79
11/10/2023,80.035,1.6007,Wray Farms,United Kingdom,50,5.11,5.6,44
11/11/2023,106.994,2.13988,Wray Farms,United Kingdom,50,5.92,5.5,19
11/12/2023,26.026,0.52052,Wray Farms,United Kingdom,50,2.63,4.8,100
11/13/2023,82.961,1.65922,Wray Farms,United Kingdom,50,4.73,10.7,56
11/14/2023,31.047,0.62094,Wray Farms,United Kingdom,50,3.65,10.1,51
11/15/2023,81.54,1.6308,Wray Farms,United Kingdom,50,4.92,8.8,12
11/16/2023,12.466,0.24932,Wray Farms,United Kingdom,50,1.85,6,97
11/17/2023,84.958,1.69916,Wray Farms,United Kingdom,50,4.99,6.3,67
11/18/2023,16.08,0.3216,Wray Farms,United Kingdom,50,1.39,10.9,96
11/19/2023,36.017,0.72034,Wray Farms,United Kingdom,50,2.16,11.6,52
11/20/2023,63.177,1.26354,Wray Farms,United Kingdom,50,3.68,9.8,59
11/21/2023,24.325,0.4865,Wray Farms,United Kingdom,50,1.81,8.6,86
11/22/2023,19.884,0.39768,Wray Farms,United Kingdom,50,2.05,8,96
11/23/2023,49.664,0.99328,Wray Farms,United Kingdom,50,2.68,11.6,78
11/24/2023,75.511,1.51022,Wray Farms,United Kingdom,50,4.55,5.9,26
11/25/2023,88.496,1.76992,Wray Farms,United Kingdom,50,4.36,2.4,34
11/26/2023,23.252,0.46504,Wray Farms,United Kingdom,50,2.2,2.8,100
11/27/2023,7.831,0.15662,Wray Farms,United Kingdom,50,0.62,5.2,96
11/28/2023,81.693,1.63386,Wray Farms,United Kingdom,50,4.25,3.3,19
11/29/2023,74.661,1.49322,Wray Farms,United Kingdom,50,4.2,-0.3,22
11/30/2023,69.892,1.39784,Wray Farms,United Kingdom,50,3.81,0.7,33
12/1/2023,52.348,1.04696,Wray Farms,United Kingdom,50,3.61,-0.6,16
12/2/2023,17.767,0.35534,Wray Farms,United Kingdom,50,2.91,-2.3,56
12/3/2023,8.263,0.16526,Wray Farms,United Kingdom,50,1.28,1.3,100
12/4/2023,6.448,0.12896,Wray Farms,United Kingdom,50,0.48,4.8,100
12/5/2023,18.319,0.36638,Wray Farms,United Kingdom,50,1.41,5.3,86
12/6/2023,69.354,1.38708,Wray Farms,United Kingdom,50,3.77,0.8,34
12/7/2023,7.994,0.15988,Wray Farms,United Kingdom,50,0.59,4.7,100
12/8/2023,46.977,0.93954,Wray Farms,United Kingdom,50,3.1,6.9,50
12/9/2023,16.43,0.3286,Wray Farms,United Kingdom,50,0.98,8.3,85
12/10/2023,7.707,0.15414,Wray Farms,United Kingdom,50,0.7,8.2,72
12/11/2023,16.443,0.32886,Wray Farms,United Kingdom,50,2.36,8.1,46
12/12/2023,14.306,0.28612,Wray Farms,United Kingdom,50,1.31,7,95
12/13/2023,10.249,0.20498,Wray Farms,United Kingdom,50,0.65,5.9,97
12/14/2023,29.79,0.5958,Wray Farms,United Kingdom,50,1.37,4.4,59
