time,shortwave_radiation_sum (MJ/m²),cloud_cover_mean (%),temperature_2m_mean (°C),System Name
9/23/2023,14.23,97,24.2,DeCrescent 178kW PV
9/24/2023,20.01,90,25.7,DeCrescent 178kW PV
9/25/2023,16.67,77,25.1,DeCrescent 178kW PV
9/26/2023,24.74,53,28,DeCrescent 178kW PV
9/27/2023,23.94,65,27.6,DeCrescent 178kW PV
9/28/2023,17.61,82,25.4,DeCrescent 178kW PV
9/29/2023,23.68,76,26.8,DeCrescent 178kW PV
9/30/2023,23.25,84,26.8,DeCrescent 178kW PV
10/1/2023,21.73,69,26.6,DeCrescent 178kW PV
10/2/2023,22.73,60,27.2,DeCrescent 178kW PV
10/3/2023,21.84,73,27.1,DeCrescent 178kW PV
10/4/2023,21.51,99,28.6,DeCrescent 178kW PV
10/5/2023,20.24,99,27.3,DeCrescent 178kW PV
10/6/2023,22.55,78,28,DeCrescent 178kW PV
10/7/2023,21.52,66,27.2,DeCrescent 178kW PV
10/8/2023,21.62,90,27.3,DeCrescent 178kW PV
10/9/2023,21.95,94,26.7,DeCrescent 178kW PV
10/10/2023,16.33,74,25.1,DeCrescent 178kW PV
10/11/2023,17.82,95,25.4,DeCrescent 178kW PV
10/12/2023,24.21,53,27.3,DeCrescent 178kW PV
10/13/2023,18.89,99,26,DeCrescent 178kW PV
10/14/2023,18.31,99,25.9,DeCrescent 178kW PV
10/15/2023,23.31,66,25.7,DeCrescent 178kW PV
10/16/2023,22.53,88,25.8,DeCrescent 178kW PV
10/17/2023,17.49,75,25.8,DeCrescent 178kW PV
10/18/2023,21.6,86,25.7,DeCrescent 178kW PV
10/19/2023,20.03,76,25.4,DeCrescent 178kW PV
10/20/2023,22.32,71,25.4,DeCrescent 178kW PV
10/21/2023,22.05,96,26.3,DeCrescent 178kW PV
10/22/2023,17.85,80,25,DeCrescent 178kW PV
10/23/2023,22.23,76,26.6,DeCrescent 178kW PV
10/24/2023,18.59,82,25.6,DeCrescent 178kW PV
10/25/2023,21.17,97,26.3,DeCrescent 178kW PV
10/26/2023,18.86,89,26.2,DeCrescent 178kW PV
10/27/2023,20.73,96,26.8,DeCrescent 178kW PV
10/28/2023,16.83,97,26,DeCrescent 178kW PV
10/29/2023,10.11,98,24.3,DeCrescent 178kW PV
10/30/2023,20.91,92,27.3,DeCrescent 178kW PV
10/31/2023,17.38,99,25.9,DeCrescent 178kW PV
11/1/2023,18.5,96,26.1,DeCrescent 178kW PV
11/2/2023,15.88,96,25.1,DeCrescent 178kW PV
11/3/2023,19.49,82,26.4,DeCrescent 178kW PV
11/4/2023,12.24,96,24.4,DeCrescent 178kW PV
11/5/2023,21.59,94,26.5,DeCrescent 178kW PV
11/6/2023,17.48,90,25.1,DeCrescent 178kW PV
11/7/2023,20.62,97,25.6,DeCrescent 178kW PV
11/8/2023,20.74,75,26.8,DeCrescent 178kW PV
11/9/2023,19.25,85,26.1,DeCrescent 178kW PV
11/10/2023,18.7,92,25,DeCrescent 178kW PV
11/11/2023,20.22,91,25.8,DeCrescent 178kW PV
11/12/2023,15.19,90,25.5,DeCrescent 178kW PV
11/13/2023,20.79,77,26.5,DeCrescent 178kW PV
11/14/2023,14.78,86,25.5,DeCrescent 178kW PV
11/15/2023,17.9,84,26.7,DeCrescent 178kW PV
11/16/2023,22.95,48,26.8,DeCrescent 178kW PV
11/17/2023,20.8,39,27.5,DeCrescent 178kW PV
11/18/2023,19.09,94,27.4,DeCrescent 178kW PV
11/19/2023,19.34,88,27.1,DeCrescent 178kW PV
11/20/2023,17.69,97,26.1,DeCrescent 178kW PV
11/21/2023,22.91,78,27.4,DeCrescent 178kW PV
11/22/2023,18.63,76,27.1,DeCrescent 178kW PV
11/23/2023,18.55,91,26.2,DeCrescent 178kW PV
11/24/2023,16.9,91,25.1,DeCrescent 178kW PV
11/25/2023,19.38,92,25.2,DeCrescent 178kW PV
11/26/2023,19.5,58,24.8,DeCrescent 178kW PV
11/27/2023,20.25,60,25.1,DeCrescent 178kW PV
11/28/2023,19.43,86,25.6,DeCrescent 178kW PV
11/29/2023,18.5,88,24.4,DeCrescent 178kW PV
11/30/2023,21.06,48,25.6,DeCrescent 178kW PV
12/1/2023,21.75,36,26,DeCrescent 178kW PV
12/2/2023,22.35,24,26.3,DeCrescent 178kW PV
12/3/2023,23.23,47,26.6,DeCrescent 178kW PV
12/4/2023,21.72,64,26.6,DeCrescent 178kW PV
12/5/2023,22.15,42,26.7,DeCrescent 178kW PV
