time,shortwave_radiation_sum (MJ/m²),cloud_cover_mean (%),temperature_2m_mean (°C),System Name
9/23/2023,7.62,99,15.7,HLT1 Klagenfurt Lastenstrasse
9/24/2023,6.79,100,14.4,HLT1 Klagenfurt Lastenstrasse
9/25/2023,15.07,32,13.8,HLT1 Klagenfurt Lastenstrasse
9/26/2023,14.64,54,15.8,HLT1 Klagenfurt Lastenstrasse
9/27/2023,14.59,62,15.9,HLT1 Klagenfurt Lastenstrasse
9/28/2023,15.85,24,15.8,HLT1 Klagenfurt Lastenstrasse
9/29/2023,16.05,40,15.1,HLT1 Klagenfurt Lastenstrasse
9/30/2023,12.23,66,16.2,HLT1 Klagenfurt Lastenstrasse
10/1/2023,13.95,41,16.4,HLT1 Klagenfurt Lastenstrasse
10/2/2023,14.97,36,16.2,HLT1 Klagenfurt Lastenstrasse
10/3/2023,14.55,70,17.6,HLT1 Klagenfurt Lastenstrasse
10/4/2023,5.77,82,15.2,HLT1 Klagenfurt Lastenstrasse
10/5/2023,11.31,98,15.5,HLT1 Klagenfurt Lastenstrasse
10/6/2023,11.83,65,15.1,HLT1 Klagenfurt Lastenstrasse
10/7/2023,13.32,67,15.1,HLT1 Klagenfurt Lastenstrasse
10/8/2023,10.71,91,17.5,HLT1 Klagenfurt Lastenstrasse
10/9/2023,10.81,99,15.5,HLT1 Klagenfurt Lastenstrasse
10/10/2023,12.25,80,16.1,HLT1 Klagenfurt Lastenstrasse
10/11/2023,12.87,58,15.2,HLT1 Klagenfurt Lastenstrasse
10/12/2023,12.16,89,15.4,HLT1 Klagenfurt Lastenstrasse
10/13/2023,12.45,72,15.7,HLT1 Klagenfurt Lastenstrasse
10/14/2023,10.59,72,15.9,HLT1 Klagenfurt Lastenstrasse
10/15/2023,2.28,78,11.4,HLT1 Klagenfurt Lastenstrasse
10/16/2023,11.46,66,6.8,HLT1 Klagenfurt Lastenstrasse
10/17/2023,10.16,81,5.5,HLT1 Klagenfurt Lastenstrasse
10/18/2023,8.69,98,6.8,HLT1 Klagenfurt Lastenstrasse
10/19/2023,6.75,92,11.4,HLT1 Klagenfurt Lastenstrasse
10/20/2023,7.09,96,15.9,HLT1 Klagenfurt Lastenstrasse
10/21/2023,9.52,88,15.2,HLT1 Klagenfurt Lastenstrasse
10/22/2023,10.17,69,13.4,HLT1 Klagenfurt Lastenstrasse
10/23/2023,10.19,86,11.1,HLT1 Klagenfurt Lastenstrasse
10/24/2023,5.4,100,12.3,HLT1 Klagenfurt Lastenstrasse
10/25/2023,5.58,83,13.1,HLT1 Klagenfurt Lastenstrasse
10/26/2023,6.05,96,12.3,HLT1 Klagenfurt Lastenstrasse
10/27/2023,4.8,82,12,HLT1 Klagenfurt Lastenstrasse
10/28/2023,8.8,58,10.4,HLT1 Klagenfurt Lastenstrasse
10/29/2023,6.54,89,11.1,HLT1 Klagenfurt Lastenstrasse
10/30/2023,5.16,99,13.7,HLT1 Klagenfurt Lastenstrasse
10/31/2023,2,89,11.4,HLT1 Klagenfurt Lastenstrasse
11/1/2023,7.56,82,7.1,HLT1 Klagenfurt Lastenstrasse
11/2/2023,3.19,82,9.4,HLT1 Klagenfurt Lastenstrasse
11/3/2023,4.42,98,9.4,HLT1 Klagenfurt Lastenstrasse
11/4/2023,6.48,69,5.5,HLT1 Klagenfurt Lastenstrasse
11/5/2023,7.14,58,6.6,HLT1 Klagenfurt Lastenstrasse
11/6/2023,7.95,48,6.6,HLT1 Klagenfurt Lastenstrasse
11/7/2023,7.53,77,6.5,HLT1 Klagenfurt Lastenstrasse
11/8/2023,7.79,51,5.5,HLT1 Klagenfurt Lastenstrasse
11/9/2023,6.63,98,5.2,HLT1 Klagenfurt Lastenstrasse
11/10/2023,3.43,93,6.9,HLT1 Klagenfurt Lastenstrasse
11/11/2023,7.52,57,5.8,HLT1 Klagenfurt Lastenstrasse
11/12/2023,7.64,83,2.4,HLT1 Klagenfurt Lastenstrasse
11/13/2023,5.59,94,4.3,HLT1 Klagenfurt Lastenstrasse
11/14/2023,7.13,78,6.9,HLT1 Klagenfurt Lastenstrasse
11/15/2023,7.28,48,8.2,HLT1 Klagenfurt Lastenstrasse
11/16/2023,6.56,74,4,HLT1 Klagenfurt Lastenstrasse
11/17/2023,5.91,95,6,HLT1 Klagenfurt Lastenstrasse
11/18/2023,6.52,67,5.2,HLT1 Klagenfurt Lastenstrasse
11/19/2023,5.81,72,3.7,HLT1 Klagenfurt Lastenstrasse
11/20/2023,6.15,96,4,HLT1 Klagenfurt Lastenstrasse
11/21/2023,1.9,100,4.9,HLT1 Klagenfurt Lastenstrasse
11/22/2023,5.17,62,3.6,HLT1 Klagenfurt Lastenstrasse
11/23/2023,7.07,52,1.9,HLT1 Klagenfurt Lastenstrasse
11/24/2023,5.12,75,1.5,HLT1 Klagenfurt Lastenstrasse
11/25/2023,6.89,41,-0.3,HLT1 Klagenfurt Lastenstrasse
11/26/2023,5.54,50,0,HLT1 Klagenfurt Lastenstrasse
11/27/2023,5.28,94,-1,HLT1 Klagenfurt Lastenstrasse
11/28/2023,5.36,83,1.8,HLT1 Klagenfurt Lastenstrasse
11/29/2023,6.79,26,0.2,HLT1 Klagenfurt Lastenstrasse
