Date,Generated (kWh),Efficiency,System Name,Location,System Size (kW)
2023-09-22,180.33,3.6066,Wray Farms,United Kingdom,50.0
2023-09-23,140.38,2.8076,Wray Farms,United Kingdom,50.0
2023-09-24,86.931,1.73862,Wray Farms,United Kingdom,50.0
2023-09-25,171.482,3.42964,Wray Farms,United Kingdom,50.0
2023-09-26,123.231,2.46462,Wray Farms,United Kingdom,50.0
2023-09-27,81.857,1.63714,Wray Farms,United Kingdom,50.0
2023-09-28,80.369,1.60738,Wray Farms,United Kingdom,50.0
2023-09-29,171.036,3.42072,Wray Farms,United Kingdom,50.0
2023-09-30,82.785,1.6557,Wray Farms,United Kingdom,50.0
2023-10-01,42.908,0.85816,Wray Farms,United Kingdom,50.0
2023-10-02,71.588,1.43176,Wray Farms,United Kingdom,50.0
2023-10-03,138.924,2.77848,Wray Farms,United Kingdom,50.0
2023-10-04,113.446,2.26892,Wray Farms,United Kingdom,50.0
2023-10-05,70.518,1.41036,Wray Farms,United Kingdom,50.0
2023-10-06,100.808,2.01616,Wray Farms,United Kingdom,50.0
2023-10-07,70.655,1.4131,Wray Farms,United Kingdom,50.0
2023-10-08,107.728,2.15456,Wray Farms,United Kingdom,50.0
2023-10-09,117.388,2.34776,Wray Farms,United Kingdom,50.0
2023-10-10,115.987,2.31974,Wray Farms,United Kingdom,50.0
2023-10-11,33.279,0.66558,Wray Farms,United Kingdom,50.0
2023-10-12,54.853,1.09706,Wray Farms,United Kingdom,50.0
2023-10-13,25.562,0.51124,Wray Farms,United Kingdom,50.0
2023-10-14,144.956,2.89912,Wray Farms,United Kingdom,50.0
2023-10-15,164.794,3.29588,Wray Farms,United Kingdom,50.0
2023-10-16,83.941,1.67882,Wray Farms,United Kingdom,50.0
2023-10-17,135.057,2.70114,Wray Farms,United Kingdom,50.0
2023-10-18,75.087,1.50174,Wray Farms,United Kingdom,50.0
2023-10-19,54.443,1.08886,Wray Farms,United Kingdom,50.0
2023-10-20,7.098,0.14196,Wray Farms,United Kingdom,50.0
2023-10-21,44.935,0.8987,Wray Farms,United Kingdom,50.0
2023-10-22,114.645,2.2929,Wray Farms,United Kingdom,50.0
2023-10-23,70.779,1.41558,Wray Farms,United Kingdom,50.0
2023-10-24,29.394,0.58788,Wray Farms,United Kingdom,50.0
2023-10-25,64.144,1.28288,Wray Farms,United Kingdom,50.0
2023-10-26,33.157,0.66314,Wray Farms,United Kingdom,50.0
2023-10-27,27.799,0.55598,Wray Farms,United Kingdom,50.0
2023-10-28,48.429,0.96858,Wray Farms,United Kingdom,50.0
2023-10-29,85.501,1.71002,Wray Farms,United Kingdom,50.0
2023-10-30,81.167,1.62334,Wray Farms,United Kingdom,50.0
