time,shortwave_radiation_sum (MJ/m²),cloud_cover_mean (%),temperature_2m_mean (°C),System Name
9/23/2023,12.44,95,26.9,MAWC
9/24/2023,22.59,91,27.3,MAWC
9/25/2023,24.61,63,28.5,MAWC
9/26/2023,20.68,94,28.4,MAWC
9/27/2023,8.82,100,26.3,MAWC
9/28/2023,23.86,87,27.8,MAWC
9/29/2023,19.4,83,28.5,MAWC
9/30/2023,23.59,88,29.2,MAWC
10/1/2023,21.25,99,28.2,MAWC
10/2/2023,20.25,98,27.5,MAWC
10/3/2023,11.52,95,27.2,MAWC
10/4/2023,6.29,96,27.2,MAWC
10/5/2023,14.29,96,27.7,MAWC
10/6/2023,6.78,95,26.9,MAWC
10/7/2023,16.71,95,28.2,MAWC
10/8/2023,21.55,91,27.8,MAWC
10/9/2023,23.33,98,27.5,MAWC
10/10/2023,17.76,96,27.2,MAWC
10/11/2023,11.14,100,26.9,MAWC
10/12/2023,19.24,86,27.3,MAWC
10/13/2023,23.65,61,28.8,MAWC
10/14/2023,23.53,87,28.8,MAWC
10/15/2023,21.46,96,28.8,MAWC
10/16/2023,22.26,55,29.1,MAWC
10/17/2023,25.24,41,29.3,MAWC
10/18/2023,21.46,94,29.2,MAWC
10/19/2023,18.8,88,27,MAWC
10/20/2023,18.21,84,26.5,MAWC
10/21/2023,18.07,98,27.1,MAWC
10/22/2023,19.31,98,26.7,MAWC
10/23/2023,15.46,99,26.7,MAWC
10/24/2023,22.68,55,28,MAWC
10/25/2023,21.64,72,27.5,MAWC
10/26/2023,20.55,85,27.3,MAWC
10/27/2023,22.21,85,27.8,MAWC
10/28/2023,21.33,67,27.6,MAWC
10/29/2023,20.16,96,27.1,MAWC
10/30/2023,15.27,98,27.3,MAWC
10/31/2023,15.87,97,26.5,MAWC
11/1/2023,21.6,58,27.5,MAWC
11/2/2023,22.45,60,27.7,MAWC
11/3/2023,13.1,93,26.6,MAWC
11/4/2023,17.88,99,26.6,MAWC
11/5/2023,16.7,91,26.8,MAWC
11/6/2023,17.81,86,26.8,MAWC
11/7/2023,12.98,100,27,MAWC
11/8/2023,17.89,90,26.7,MAWC
11/9/2023,13.02,100,26.5,MAWC
11/10/2023,21.05,55,27.2,MAWC
11/11/2023,16.52,87,26.9,MAWC
11/12/2023,16.67,96,26.7,MAWC
11/13/2023,14.59,97,26.3,MAWC
11/14/2023,20.33,71,27.1,MAWC
11/15/2023,23.14,30,27.9,MAWC
11/16/2023,23.76,17,28.6,MAWC
11/17/2023,22.66,54,28.2,MAWC
11/18/2023,19.54,78,26.8,MAWC
