time,shortwave_radiation_sum (MJ/m²),cloud_cover_mean (%),temperature_2m_mean (°C),System Name
9/23/2023,12.21,51,13.8,Schipper Power- Three
9/24/2023,14.64,48,14.5,Schipper Power- Three
9/25/2023,11.81,75,16.2,Schipper Power- Three
9/26/2023,10.5,100,16.6,Schipper Power- Three
9/27/2023,9.67,79,17.9,Schipper Power- Three
9/28/2023,10.26,72,18.2,Schipper Power- Three
9/29/2023,8.13,63,17.2,Schipper Power- Three
9/30/2023,11.35,87,15.3,Schipper Power- Three
10/1/2023,11.42,89,17.5,Schipper Power- Three
10/2/2023,9.03,92,18.7,Schipper Power- Three
10/3/2023,4.85,77,16.9,Schipper Power- Three
10/4/2023,8.52,78,15.4,Schipper Power- Three
10/5/2023,9.16,86,15.9,Schipper Power- Three
10/6/2023,10.43,84,16.2,Schipper Power- Three
10/7/2023,7.46,89,18,Schipper Power- Three
10/8/2023,8.03,95,15.9,Schipper Power- Three
10/9/2023,7.31,99,17.1,Schipper Power- Three
10/10/2023,9.76,99,17.2,Schipper Power- Three
10/11/2023,5.37,100,17.7,Schipper Power- Three
10/12/2023,2.92,100,14.8,Schipper Power- Three
10/13/2023,3.03,99,17.8,Schipper Power- Three
10/14/2023,9.62,40,12.7,Schipper Power- Three
10/15/2023,9.25,51,9,Schipper Power- Three
10/16/2023,7.59,87,9.6,Schipper Power- Three
10/17/2023,10.28,43,8.7,Schipper Power- Three
10/18/2023,7.44,100,8.8,Schipper Power- Three
10/19/2023,5.15,92,14.3,Schipper Power- Three
10/20/2023,0.99,97,10.7,Schipper Power- Three
10/21/2023,7.44,75,13.3,Schipper Power- Three
10/22/2023,7.12,68,12.5,Schipper Power- Three
10/23/2023,6.49,70,10.2,Schipper Power- Three
10/24/2023,3.87,90,11.6,Schipper Power- Three
10/25/2023,1.76,81,10.1,Schipper Power- Three
10/26/2023,5.14,84,10,Schipper Power- Three
10/27/2023,1.27,99,10,Schipper Power- Three
10/28/2023,4.18,88,10.6,Schipper Power- Three
10/29/2023,6.49,61,12.6,Schipper Power- Three
10/30/2023,4.95,71,11.7,Schipper Power- Three
10/31/2023,5.02,90,11,Schipper Power- Three
11/1/2023,2.67,91,11.7,Schipper Power- Three
11/2/2023,4.36,93,11.1,Schipper Power- Three
11/3/2023,4.83,80,9.7,Schipper Power- Three
11/4/2023,3.36,76,8.9,Schipper Power- Three
11/5/2023,3.9,83,9.9,Schipper Power- Three
11/6/2023,3.95,70,9.7,Schipper Power- Three
11/7/2023,4.87,73,9.2,Schipper Power- Three
11/8/2023,3.32,93,9.2,Schipper Power- Three
11/9/2023,4.36,98,9.9,Schipper Power- Three
11/10/2023,1.64,96,7.5,Schipper Power- Three
