Date,Generated,Efficiency
5/15/2024,1793.043kWh,4.272914234
5/14/2024,1397.396kWh,3.330066964
5/13/2024,1666.543kWh,3.971458189
5/12/2024,1464.758kWh,3.490594095
5/11/2024,2029.161kWh,4.835595644
5/10/2024,900.776kWh,2.146595811
5/9/2024,1448.694kWh,3.452312752
5/8/2024,743.133kWh,1.770924386
5/7/2024,1268.245kWh,3.022293449
5/6/2024,1794.475kWh,4.276326764
5/5/2024,1796.320kWh,4.280723495
5/4/2024,1808.799kWh,4.310461597
5/3/2024,1448.885kWh,3.452767915
5/2/2024,1908.000kWh,4.546862712
5/1/2024,832.981kWh,1.985036818
4/30/2024,444.929kWh,1.060288826
4/29/2024,680.892kWh,1.622600863
4/28/2024,1178.739kWh,2.80899602
4/27/2024,1907.104kWh,4.544727498
4/26/2024,919.927kWh,2.192233634
4/25/2024,1944.396kWh,4.633596263
4/24/2024,1811.118kWh,4.315987894
4/23/2024,2077.752kWh,4.951390511
4/22/2024,1539.554kWh,3.668836832
4/21/2024,1853.459kWh,4.416888688
4/20/2024,2129.466kWh,5.074627648
4/19/2024,1286.774kWh,3.066449015
4/18/2024,2148.907kWh,5.120956557
4/17/2024,1783.446kWh,4.250044086
4/16/2024,1541.876kWh,3.674370279
4/15/2024,1334.072kWh,3.179162596
4/14/2024,2079.442kWh,4.955417868
4/13/2024,735.892kWh,1.753668708
4/12/2024,739.181kWh,1.761506565
4/11/2024,1924.155kWh,4.585360913
4/10/2024,982.084kWh,2.340356981
4/9/2024,1756.205kWh,4.185127374
4/8/2024,2004.565kWh,4.776982103
4/7/2024,1198.523kWh,2.856142316
4/6/2024,2043.121kWh,4.868863046
