Date,Generated,Efficiency,System Name,Location,System Size (kW)
3/30/2025,1433.968kWh,3.417kWh/kW,MAWC,Maldives,419.63
3/29/2025,1947.200kWh,4.640kWh/kW,MAWC,Maldives,419.63
3/28/2025,634.879kWh,1.513kWh/kW,MAWC,Maldives,419.63
3/27/2025,1898.824kWh,4.525kWh/kW,MAWC,Maldives,419.63
3/26/2025,1399.132kWh,3.334kWh/kW,MAWC,Maldives,419.63
3/25/2025,1939.269kWh,4.621kWh/kW,MAWC,Maldives,419.63
3/24/2025,1724.859kWh,4.110kWh/kW,MAWC,Maldives,419.63
3/23/2025,1552.500kWh,3.700kWh/kW,MAWC,Maldives,419.63
3/22/2025,1349.416kWh,3.216kWh/kW,MAWC,Maldives,419.63
3/21/2025,585.175kWh,1.395kWh/kW,MAWC,Maldives,419.63
3/20/2025,2101.594kWh,5.008kWh/kW,MAWC,Maldives,419.63
3/19/2025,1601.571kWh,3.817kWh/kW,MAWC,Maldives,419.63
3/18/2025,2032.938kWh,4.845kWh/kW,MAWC,Maldives,419.63
3/17/2025,1889.218kWh,4.502kWh/kW,MAWC,Maldives,419.63
3/16/2025,1956.046kWh,4.661kWh/kW,MAWC,Maldives,419.63
3/15/2025,2057.265kWh,4.903kWh/kW,MAWC,Maldives,419.63
3/14/2025,653.602kWh,1.558kWh/kW,MAWC,Maldives,419.63
3/13/2025,1659.150kWh,3.954kWh/kW,MAWC,Maldives,419.63
3/12/2025,1533.080kWh,3.653kWh/kW,MAWC,Maldives,419.63
3/11/2025,1799.396kWh,4.288kWh/kW,MAWC,Maldives,419.63
3/10/2025,1285.694kWh,3.064kWh/kW,MAWC,Maldives,419.63
3/9/2025,1795.339kWh,4.278kWh/kW,MAWC,Maldives,419.63
3/8/2025,1878.532kWh,4.477kWh/kW,MAWC,Maldives,419.63
3/7/2025,1630.750kWh,3.886kWh/kW,MAWC,Maldives,419.63
3/6/2025,2087.191kWh,4.974kWh/kW,MAWC,Maldives,419.63
3/5/2025,2079.297kWh,4.955kWh/kW,MAWC,Maldives,419.63
3/4/2025,1906.113kWh,4.542kWh/kW,MAWC,Maldives,419.63
3/3/2025,606.488kWh,1.445kWh/kW,MAWC,Maldives,419.63
3/2/2025,519.531kWh,1.238kWh/kW,MAWC,Maldives,419.63
3/1/2025,625.043kWh,1.490kWh/kW,MAWC,Maldives,419.63
2/28/2025,153.819kWh,0.367kWh/kW,MAWC,Maldives,419.63
2/27/2025,1345.500kWh,3.206kWh/kW,MAWC,Maldives,419.63
2/26/2025,1486.141kWh,3.542kWh/kW,MAWC,Maldives,419.63
2/25/2025,1849.843kWh,4.408kWh/kW,MAWC,Maldives,419.63
2/24/2025,2029.105kWh,4.835kWh/kW,MAWC,Maldives,419.63
2/23/2025,1072.255kWh,2.555kWh/kW,MAWC,Maldives,419.63
2/22/2025,1987.288kWh,4.736kWh/kW,MAWC,Maldives,419.63
2/21/2025,1116.180kWh,2.660kWh/kW,MAWC,Maldives,419.63
2/20/2025,1993.934kWh,4.752kWh/kW,MAWC,Maldives,419.63
2/19/2025,1849.744kWh,4.408kWh/kW,MAWC,Maldives,419.63
2/18/2025,1806.215kWh,4.304kWh/kW,MAWC,Maldives,419.63
2/17/2025,1934.688kWh,4.610kWh/kW,MAWC,Maldives,419.63
2/16/2025,2002.835kWh,4.773kWh/kW,MAWC,Maldives,419.63
2/15/2025,2007.091kWh,4.783kWh/kW,MAWC,Maldives,419.63
2/14/2025,1579.962kWh,3.765kWh/kW,MAWC,Maldives,419.63
2/13/2025,1854.635kWh,4.420kWh/kW,MAWC,Maldives,419.63
2/12/2025,1926.184kWh,4.590kWh/kW,MAWC,Maldives,419.63
2/11/2025,1971.267kWh,4.698kWh/kW,MAWC,Maldives,419.63
2/10/2025,1423.602kWh,3.393kWh/kW,MAWC,Maldives,419.63
2/9/2025,1533.373kWh,3.654kWh/kW,MAWC,Maldives,419.63
2/8/2025,1394.744kWh,3.324kWh/kW,MAWC,Maldives,419.63
2/7/2025,798.200kWh,1.902kWh/kW,MAWC,Maldives,419.63
2/6/2025,1862.082kWh,4.437kWh/kW,MAWC,Maldives,419.63
2/5/2025,2005.277kWh,4.779kWh/kW,MAWC,Maldives,419.63
2/4/2025,1719.521kWh,4.098kWh/kW,MAWC,Maldives,419.63
2/3/2025,1876.690kWh,4.472kWh/kW,MAWC,Maldives,419.63
2/2/2025,1881.209kWh,4.483kWh/kW,MAWC,Maldives,419.63
2/1/2025,1139.438kWh,2.715kWh/kW,MAWC,Maldives,419.63
1/31/2025,672.551kWh,1.603kWh/kW,MAWC,Maldives,419.63
1/30/2025,1403.913kWh,3.346kWh/kW,MAWC,Maldives,419.63
1/29/2025,1732.302kWh,4.128kWh/kW,MAWC,Maldives,419.63
1/28/2025,604.808kWh,1.441kWh/kW,MAWC,Maldives,419.63
1/27/2025,1168.811kWh,2.785kWh/kW,MAWC,Maldives,419.63
1/26/2025,1358.421kWh,3.237kWh/kW,MAWC,Maldives,419.63
1/25/2025,608.016kWh,1.449kWh/kW,MAWC,Maldives,419.63
1/24/2025,804.081kWh,1.916kWh/kW,MAWC,Maldives,419.63
1/23/2025,667.324kWh,1.590kWh/kW,MAWC,Maldives,419.63
1/22/2025,1588.631kWh,3.786kWh/kW,MAWC,Maldives,419.63
1/21/2025,1326.602kWh,3.161kWh/kW,MAWC,Maldives,419.63
1/20/2025,1682.086kWh,4.008kWh/kW,MAWC,Maldives,419.63
1/19/2025,1607.931kWh,3.832kWh/kW,MAWC,Maldives,419.63
1/18/2025,1784.150kWh,4.252kWh/kW,MAWC,Maldives,419.63
1/17/2025,1398.920kWh,3.334kWh/kW,MAWC,Maldives,419.63
1/16/2025,718.904kWh,1.713kWh/kW,MAWC,Maldives,419.63
1/15/2025,1313.851kWh,3.131kWh/kW,MAWC,Maldives,419.63
1/14/2025,861.796kWh,2.054kWh/kW,MAWC,Maldives,419.63
1/13/2025,919.594kWh,2.191kWh/kW,MAWC,Maldives,419.63
1/12/2025,1802.767kWh,4.296kWh/kW,MAWC,Maldives,419.63
1/11/2025,1526.819kWh,3.638kWh/kW,MAWC,Maldives,419.63
1/10/2025,1383.047kWh,3.296kWh/kW,MAWC,Maldives,419.63
1/9/2025,1830.848kWh,4.363kWh/kW,MAWC,Maldives,419.63
1/8/2025,1691.042kWh,4.030kWh/kW,MAWC,Maldives,419.63
1/7/2025,1068.210kWh,2.546kWh/kW,MAWC,Maldives,419.63
1/6/2025,1511.644kWh,3.602kWh/kW,MAWC,Maldives,419.63
1/5/2025,1745.987kWh,4.161kWh/kW,MAWC,Maldives,419.63
1/4/2025,1051.263kWh,2.505kWh/kW,MAWC,Maldives,419.63
