Date,Generated,Efficiency
9/10/2024,445.44,4.124444444
9/9/2024,154.472,1.430296296
9/8/2024,503.866,4.665425926
9/7/2024,403.926,3.740055556
9/6/2024,171.363,1.586694444
9/5/2024,36.072,0.334
9/4/2024,260.363,2.410768519
9/3/2024,439.776,4.072
9/2/2024,618.075,5.722916667
9/1/2024,423.415,3.920509259
8/31/2024,167.755,1.553287037
8/30/2024,499.82,4.627962963
8/29/2024,494.738,4.580907407
8/28/2024,364.763,3.377435185
8/27/2024,617.689,5.719342593
8/26/2024,627.516,5.810333333
8/25/2024,603.057,5.583861111
8/24/2024,62.963,0.582990741
8/23/2024,171.53,1.588240741
8/22/2024,431.612,3.996407407
8/21/2024,176.942,1.638351852
8/20/2024,157.361,1.457046296
8/19/2024,449.335,4.160509259
8/18/2024,408.692,3.784185185
8/17/2024,432.377,4.003490741
8/16/2024,443.629,4.107675926
8/15/2024,485.246,4.493018519
8/14/2024,549.227,5.085435185
8/13/2024,502.956,4.657
8/12/2024,524.346,4.855055556
8/11/2024,529.701,4.904638889
8/10/2024,549.707,5.08987963
8/9/2024,284.252,2.631962963
8/8/2024,131.035,1.213287037
8/7/2024,404.415,3.744583333
8/6/2024,384.008,3.55562963
8/5/2024,289.486,2.680425926
8/4/2024,386.75,3.581018519
8/3/2024,282.714,2.617722222
8/2/2024,286.381,2.651675926
