Date,Generated,Efficiency
6/24/2024,2964,5.872388481
6/23/2024,2922,5.789176499
6/22/2024,2963,5.870407243
6/21/2024,2931,5.807007638
6/20/2024,3003,5.949656751
6/19/2024,3044,6.030887495
6/18/2024,3044,6.030887495
6/17/2024,3100,6.141836805
6/16/2024,3156,6.252786115
6/15/2024,3147,6.234954976
6/14/2024,3107,6.155705469
6/13/2024,1699,3.366122817
6/12/2024,2971,5.886257145
6/11/2024,2919,5.783232786
6/10/2024,2672,5.293867079
6/9/2024,3044,6.030887495
6/8/2024,3091,6.124005666
6/7/2024,3073,6.088343388
6/6/2024,2762,5.47217847
6/5/2024,2926,5.797101449
6/4/2024,2708,5.365191635
6/3/2024,2120,4.20022388
6/2/2024,3091,6.124005666
6/1/2024,3179,6.298354582
5/31/2024,2909,5.763420409
5/30/2024,3134,6.209198887
5/29/2024,2950,5.844651154
5/28/2024,3171,6.282504681
5/27/2024,2988,5.919938185
5/26/2024,3026,5.995225217
5/25/2024,2841,5.628696247
5/24/2024,3168,6.276560968
5/23/2024,3191,6.322129434
5/22/2024,3122,6.185424034
5/21/2024,2975,5.894182096
5/20/2024,2884,5.713889467
5/19/2024,2328,4.612321317
5/18/2024,3063,6.068531011
5/17/2024,1547,3.06497469
5/16/2024,170,0.336810405
