Date,Generated,Efficiency,System Name,Location,System Size (kW)
3/30/2025,1198.000kWh,2.374kWh/kW,Pentaari,Greece,504.375
3/29/2025,978.000kWh,1.938kWh/kW,Pentaari,Greece,504.375
3/28/2025,2651.000kWh,5.252kWh/kW,Pentaari,Greece,504.375
3/27/2025,1150.000kWh,2.278kWh/kW,Pentaari,Greece,504.375
3/26/2025,944.000kWh,1.870kWh/kW,Pentaari,Greece,504.375
3/25/2025,592.000kWh,1.173kWh/kW,Pentaari,Greece,504.375
3/24/2025,727.000kWh,1.440kWh/kW,Pentaari,Greece,504.375
3/23/2025,532.000kWh,1.054kWh/kW,Pentaari,Greece,504.375
3/22/2025,2484.000kWh,4.921kWh/kW,Pentaari,Greece,504.375
3/21/2025,3189.000kWh,6.318kWh/kW,Pentaari,Greece,504.375
3/20/2025,3131.000kWh,6.203kWh/kW,Pentaari,Greece,504.375
3/19/2025,3296.000kWh,6.530kWh/kW,Pentaari,Greece,504.375
3/18/2025,1077.000kWh,2.134kWh/kW,Pentaari,Greece,504.375
3/17/2025,2906.000kWh,5.757kWh/kW,Pentaari,Greece,504.375
3/16/2025,2209.000kWh,4.377kWh/kW,Pentaari,Greece,504.375
3/15/2025,2350.000kWh,4.656kWh/kW,Pentaari,Greece,504.375
3/14/2025,2806.000kWh,5.559kWh/kW,Pentaari,Greece,504.375
3/13/2025,1998.000kWh,3.959kWh/kW,Pentaari,Greece,504.375
3/12/2025,1434.000kWh,2.841kWh/kW,Pentaari,Greece,504.375
3/11/2025,2158.000kWh,4.276kWh/kW,Pentaari,Greece,504.375
3/10/2025,2963.000kWh,5.870kWh/kW,Pentaari,Greece,504.375
3/9/2025,3112.000kWh,6.166kWh/kW,Pentaari,Greece,504.375
3/8/2025,3067.000kWh,6.076kWh/kW,Pentaari,Greece,504.375
3/7/2025,3059.000kWh,6.061kWh/kW,Pentaari,Greece,504.375
3/6/2025,3037.000kWh,6.017kWh/kW,Pentaari,Greece,504.375
3/5/2025,3043.000kWh,6.029kWh/kW,Pentaari,Greece,504.375
3/4/2025,2982.000kWh,5.908kWh/kW,Pentaari,Greece,504.375
3/3/2025,567.000kWh,1.123kWh/kW,Pentaari,Greece,504.375
3/2/2025,468.000kWh,0.927kWh/kW,Pentaari,Greece,504.375
3/1/2025,1557.000kWh,3.085kWh/kW,Pentaari,Greece,504.375
2/28/2025,2225.000kWh,4.408kWh/kW,Pentaari,Greece,504.375
2/27/2025,395.000kWh,0.783kWh/kW,Pentaari,Greece,504.375
2/26/2025,561.000kWh,1.111kWh/kW,Pentaari,Greece,504.375
2/25/2025,1574.000kWh,3.118kWh/kW,Pentaari,Greece,504.375
2/24/2025,159.000kWh,0.315kWh/kW,Pentaari,Greece,504.375
2/23/2025,655.000kWh,1.298kWh/kW,Pentaari,Greece,504.375
2/22/2025,965.000kWh,1.912kWh/kW,Pentaari,Greece,504.375
2/21/2025,2687.000kWh,5.324kWh/kW,Pentaari,Greece,504.375
2/20/2025,2789.000kWh,5.526kWh/kW,Pentaari,Greece,504.375
2/19/2025,2101.000kWh,4.163kWh/kW,Pentaari,Greece,504.375
2/18/2025,983.000kWh,1.948kWh/kW,Pentaari,Greece,504.375
2/17/2025,667.000kWh,1.321kWh/kW,Pentaari,Greece,504.375
2/16/2025,394.000kWh,0.781kWh/kW,Pentaari,Greece,504.375
2/15/2025,807.000kWh,1.599kWh/kW,Pentaari,Greece,504.375
2/14/2025,751.000kWh,1.488kWh/kW,Pentaari,Greece,504.375
2/13/2025,1436.000kWh,2.845kWh/kW,Pentaari,Greece,504.375
