Date,Generated,Efficiency
4/4/2024,877.2,1.759961478
4/3/2024,656.34,1.316841218
4/2/2024,720.65,1.445868946
4/1/2024,745.07,1.49486377
3/31/2024,936.66,1.879258457
3/30/2024,448.78,0.900405281
3/29/2024,1305.57,2.619417359
3/28/2024,895.62,1.796918262
3/27/2024,662.23,1.328658561
3/26/2024,1063.07,2.1328799
3/25/2024,1345.42,2.699370009
3/24/2024,797.01,1.599073071
3/23/2024,1120.4,2.247903375
3/22/2024,332.7,0.667509329
3/21/2024,596.55,1.196882148
3/20/2024,871.22,1.747963565
3/19/2024,919.24,1.844308013
3/18/2024,1039.4,2.085389832
3/17/2024,647.19,1.298483207
3/16/2024,755.29,1.515368565
3/15/2024,675.74,1.355764215
3/14/2024,1282.5,2.573131094
3/13/2024,327.9,0.657878897
3/12/2024,361.43,0.725151479
3/11/2024,176.49,0.354098953
3/10/2024,903.38,1.81248746
3/9/2024,1077.85,2.162533606
3/8/2024,1259.62,2.527226034
3/7/2024,1067.84,2.142450142
3/6/2024,1061.6,2.129930581
3/5/2024,335.04,0.672204165
3/4/2024,965.37,1.936860479
3/3/2024,770.35,1.545584046
3/2/2024,1084.03,2.174932788
3/1/2024,798.2,1.601460616
2/29/2024,218.1,0.437582762
2/28/2024,580.13,1.163938044
2/27/2024,1021.18,2.048834316
2/26/2024,428.96,0.860639621
2/25/2024,493.59,0.990309378
