Date,Generated,Efficiency,System Name,Location,System Size (kW)
3/30/2025,952.360kWh,1.911kWh/kW,Schipper Power- Three,Netherlands,498.42
3/29/2025,1415.110kWh,2.839kWh/kW,Schipper Power- Three,Netherlands,498.42
3/28/2025,867.820kWh,1.741kWh/kW,Schipper Power- Three,Netherlands,498.42
3/27/2025,1727.360kWh,3.466kWh/kW,Schipper Power- Three,Netherlands,498.42
3/26/2025,1034.490kWh,2.076kWh/kW,Schipper Power- Three,Netherlands,498.42
3/25/2025,960.670kWh,1.927kWh/kW,Schipper Power- Three,Netherlands,498.42
3/24/2025,1359.440kWh,2.727kWh/kW,Schipper Power- Three,Netherlands,498.42
3/23/2025,839.530kWh,1.684kWh/kW,Schipper Power- Three,Netherlands,498.42
3/22/2025,1245.940kWh,2.500kWh/kW,Schipper Power- Three,Netherlands,498.42
3/21/2025,1535.560kWh,3.081kWh/kW,Schipper Power- Three,Netherlands,498.42
3/20/2025,1514.810kWh,3.039kWh/kW,Schipper Power- Three,Netherlands,498.42
3/19/2025,1587.860kWh,3.186kWh/kW,Schipper Power- Three,Netherlands,498.42
3/18/2025,1645.940kWh,3.302kWh/kW,Schipper Power- Three,Netherlands,498.42
3/17/2025,1581.130kWh,3.172kWh/kW,Schipper Power- Three,Netherlands,498.42
3/16/2025,1550.190kWh,3.110kWh/kW,Schipper Power- Three,Netherlands,498.42
3/15/2025,1168.830kWh,2.345kWh/kW,Schipper Power- Three,Netherlands,498.42
3/14/2025,1204.850kWh,2.417kWh/kW,Schipper Power- Three,Netherlands,498.42
3/13/2025,1289.120kWh,2.586kWh/kW,Schipper Power- Three,Netherlands,498.42
3/12/2025,1020.190kWh,2.047kWh/kW,Schipper Power- Three,Netherlands,498.42
3/11/2025,917.880kWh,1.842kWh/kW,Schipper Power- Three,Netherlands,498.42
3/10/2025,1251.240kWh,2.510kWh/kW,Schipper Power- Three,Netherlands,498.42
3/9/2025,1278.930kWh,2.566kWh/kW,Schipper Power- Three,Netherlands,498.42
3/8/2025,1271.880kWh,2.552kWh/kW,Schipper Power- Three,Netherlands,498.42
3/7/2025,1244.400kWh,2.497kWh/kW,Schipper Power- Three,Netherlands,498.42
3/6/2025,1208.090kWh,2.424kWh/kW,Schipper Power- Three,Netherlands,498.42
3/5/2025,1270.340kWh,2.549kWh/kW,Schipper Power- Three,Netherlands,498.42
3/4/2025,1204.890kWh,2.417kWh/kW,Schipper Power- Three,Netherlands,498.42
3/3/2025,1222.730kWh,2.453kWh/kW,Schipper Power- Three,Netherlands,498.42
3/2/2025,949.080kWh,1.904kWh/kW,Schipper Power- Three,Netherlands,498.42
3/1/2025,813.130kWh,1.631kWh/kW,Schipper Power- Three,Netherlands,498.42
2/28/2025,651.080kWh,1.306kWh/kW,Schipper Power- Three,Netherlands,498.42
2/27/2025,569.070kWh,1.142kWh/kW,Schipper Power- Three,Netherlands,498.42
2/26/2025,923.900kWh,1.854kWh/kW,Schipper Power- Three,Netherlands,498.42
2/25/2025,607.690kWh,1.219kWh/kW,Schipper Power- Three,Netherlands,498.42
2/24/2025,208.790kWh,0.419kWh/kW,Schipper Power- Three,Netherlands,498.42
2/23/2025,778.190kWh,1.561kWh/kW,Schipper Power- Three,Netherlands,498.42
2/22/2025,265.920kWh,0.534kWh/kW,Schipper Power- Three,Netherlands,498.42
2/21/2025,800.540kWh,1.606kWh/kW,Schipper Power- Three,Netherlands,498.42
2/20/2025,442.540kWh,0.888kWh/kW,Schipper Power- Three,Netherlands,498.42
2/19/2025,789.380kWh,1.584kWh/kW,Schipper Power- Three,Netherlands,498.42
2/18/2025,939.450kWh,1.885kWh/kW,Schipper Power- Three,Netherlands,498.42
2/17/2025,902.580kWh,1.811kWh/kW,Schipper Power- Three,Netherlands,498.42
2/16/2025,852.020kWh,1.709kWh/kW,Schipper Power- Three,Netherlands,498.42
2/15/2025,467.570kWh,0.938kWh/kW,Schipper Power- Three,Netherlands,498.42
2/14/2025,318.050kWh,0.638kWh/kW,Schipper Power- Three,Netherlands,498.42
2/13/2025,510.330kWh,1.024kWh/kW,Schipper Power- Three,Netherlands,498.42
2/12/2025,231.470kWh,0.464kWh/kW,Schipper Power- Three,Netherlands,498.42
2/11/2025,79.600kWh,0.160kWh/kW,Schipper Power- Three,Netherlands,498.42
2/10/2025,282.010kWh,0.566kWh/kW,Schipper Power- Three,Netherlands,498.42
2/9/2025,309.570kWh,0.621kWh/kW,Schipper Power- Three,Netherlands,498.42
2/8/2025,346.200kWh,0.695kWh/kW,Schipper Power- Three,Netherlands,498.42
2/7/2025,281.670kWh,0.565kWh/kW,Schipper Power- Three,Netherlands,498.42
2/6/2025,534.160kWh,1.072kWh/kW,Schipper Power- Three,Netherlands,498.42
2/5/2025,530.090kWh,1.064kWh/kW,Schipper Power- Three,Netherlands,498.42
2/4/2025,219.550kWh,0.440kWh/kW,Schipper Power- Three,Netherlands,498.42
2/3/2025,638.460kWh,1.281kWh/kW,Schipper Power- Three,Netherlands,498.42
2/2/2025,612.580kWh,1.229kWh/kW,Schipper Power- Three,Netherlands,498.42
2/1/2025,566.500kWh,1.137kWh/kW,Schipper Power- Three,Netherlands,498.42
1/31/2025,536.410kWh,1.076kWh/kW,Schipper Power- Three,Netherlands,498.42
1/30/2025,248.530kWh,0.499kWh/kW,Schipper Power- Three,Netherlands,498.42
1/29/2025,200.560kWh,0.402kWh/kW,Schipper Power- Three,Netherlands,498.42
1/28/2025,179.940kWh,0.361kWh/kW,Schipper Power- Three,Netherlands,498.42
1/27/2025,450.470kWh,0.904kWh/kW,Schipper Power- Three,Netherlands,498.42
1/26/2025,480.120kWh,0.963kWh/kW,Schipper Power- Three,Netherlands,498.42
1/25/2025,219.590kWh,0.441kWh/kW,Schipper Power- Three,Netherlands,498.42
1/24/2025,74.250kWh,0.149kWh/kW,Schipper Power- Three,Netherlands,498.42
1/23/2025,272.720kWh,0.547kWh/kW,Schipper Power- Three,Netherlands,498.42
1/22/2025,171.870kWh,0.345kWh/kW,Schipper Power- Three,Netherlands,498.42
1/21/2025,130.610kWh,0.262kWh/kW,Schipper Power- Three,Netherlands,498.42
1/20/2025,85.160kWh,0.171kWh/kW,Schipper Power- Three,Netherlands,498.42
1/19/2025,107.780kWh,0.216kWh/kW,Schipper Power- Three,Netherlands,498.42
1/18/2025,174.910kWh,0.351kWh/kW,Schipper Power- Three,Netherlands,498.42
1/17/2025,115.950kWh,0.233kWh/kW,Schipper Power- Three,Netherlands,498.42
1/16/2025,84.010kWh,0.169kWh/kW,Schipper Power- Three,Netherlands,498.42
1/15/2025,155.420kWh,0.312kWh/kW,Schipper Power- Three,Netherlands,498.42
1/14/2025,185.240kWh,0.372kWh/kW,Schipper Power- Three,Netherlands,498.42
1/13/2025,403.320kWh,0.809kWh/kW,Schipper Power- Three,Netherlands,498.42
1/12/2025,266.060kWh,0.534kWh/kW,Schipper Power- Three,Netherlands,498.42
1/11/2025,383.540kWh,0.770kWh/kW,Schipper Power- Three,Netherlands,498.42
1/10/2025,249.700kWh,0.501kWh/kW,Schipper Power- Three,Netherlands,498.42
1/9/2025,225.110kWh,0.452kWh/kW,Schipper Power- Three,Netherlands,498.42
1/8/2025,313.440kWh,0.629kWh/kW,Schipper Power- Three,Netherlands,498.42
1/7/2025,307.230kWh,0.616kWh/kW,Schipper Power- Three,Netherlands,498.42
1/6/2025,96.280kWh,0.193kWh/kW,Schipper Power- Three,Netherlands,498.42
1/5/2025,18.180kWh,0.036kWh/kW,Schipper Power- Three,Netherlands,498.42
1/4/2025,116.060kWh,0.233kWh/kW,Schipper Power- Three,Netherlands,498.42
1/3/2025,199.870kWh,0.401kWh/kW,Schipper Power- Three,Netherlands,498.42
1/2/2025,339.300kWh,0.681kWh/kW,Schipper Power- Three,Netherlands,498.42
1/1/2025,33.570kWh,0.067kWh/kW,Schipper Power- Three,Netherlands,498.42
12/31/2024,68.920kWh,0.138kWh/kW,Schipper Power- Three,Netherlands,498.42
12/30/2024,82.460kWh,0.165kWh/kW,Schipper Power- Three,Netherlands,498.42
12/29/2024,50.230kWh,0.101kWh/kW,Schipper Power- Three,Netherlands,498.42
12/28/2024,97.420kWh,0.195kWh/kW,Schipper Power- Three,Netherlands,498.42
12/27/2024,165.620kWh,0.332kWh/kW,Schipper Power- Three,Netherlands,498.42
12/26/2024,90.430kWh,0.181kWh/kW,Schipper Power- Three,Netherlands,498.42
12/25/2024,59.260kWh,0.119kWh/kW,Schipper Power- Three,Netherlands,498.42
12/24/2024,69.250kWh,0.139kWh/kW,Schipper Power- Three,Netherlands,498.42
12/23/2024,274.860kWh,0.551kWh/kW,Schipper Power- Three,Netherlands,498.42
12/22/2024,158.600kWh,0.318kWh/kW,Schipper Power- Three,Netherlands,498.42
12/21/2024,89.830kWh,0.180kWh/kW,Schipper Power- Three,Netherlands,498.42
12/20/2024,205.280kWh,0.412kWh/kW,Schipper Power- Three,Netherlands,498.42
12/19/2024,69.480kWh,0.139kWh/kW,Schipper Power- Three,Netherlands,498.42
12/18/2024,71.070kWh,0.143kWh/kW,Schipper Power- Three,Netherlands,498.42
12/17/2024,127.050kWh,0.255kWh/kW,Schipper Power- Three,Netherlands,498.42
12/16/2024,67.800kWh,0.136kWh/kW,Schipper Power- Three,Netherlands,498.42
12/15/2024,88.060kWh,0.177kWh/kW,Schipper Power- Three,Netherlands,498.42
12/14/2024,89.470kWh,0.180kWh/kW,Schipper Power- Three,Netherlands,498.42
12/13/2024,55.170kWh,0.111kWh/kW,Schipper Power- Three,Netherlands,498.42
12/12/2024,57.540kWh,0.115kWh/kW,Schipper Power- Three,Netherlands,498.42
12/11/2024,60.960kWh,0.122kWh/kW,Schipper Power- Three,Netherlands,498.42
12/10/2024,49.890kWh,0.100kWh/kW,Schipper Power- Three,Netherlands,498.42
12/9/2024,97.330kWh,0.195kWh/kW,Schipper Power- Three,Netherlands,498.42
12/8/2024,180.280kWh,0.362kWh/kW,Schipper Power- Three,Netherlands,498.42
12/7/2024,216.890kWh,0.435kWh/kW,Schipper Power- Three,Netherlands,498.42
12/6/2024,149.560kWh,0.300kWh/kW,Schipper Power- Three,Netherlands,498.42
