Date,Generated,Efficiency
5/15/2024,881.422kWh,3.487741374
5/14/2024,333.916kWh,1.321288382
5/13/2024,443.387kWh,1.754459481
5/12/2024,799.239kWh,3.162547483
5/11/2024,679.247kWh,2.687745331
5/10/2024,406.357kWh,1.607933682
5/9/2024,796.585kWh,3.152045742
5/8/2024,759.172kWh,3.004004432
5/7/2024,1037.444kWh,4.105112377
5/6/2024,966.943kWh,3.826143558
5/5/2024,599.598kWh,2.372578348
5/4/2024,972.146kWh,3.846731561
5/3/2024,1061.698kWh,4.201084204
5/2/2024,887.575kWh,3.512088477
5/1/2024,841.380kWh,3.329297246
4/30/2024,818.215kWh,3.237634536
4/29/2024,784.821kWh,3.105496201
4/28/2024,1079.922kWh,4.273195632
4/27/2024,312.308kWh,1.235786641
4/26/2024,543.427kWh,2.150312599
4/25/2024,661.674kWh,2.618209877
4/24/2024,689.066kWh,2.726598607
4/23/2024,875.241kWh,3.463283476
4/22/2024,1201.798kWh,4.755452675
4/21/2024,993.341kWh,3.930599082
4/20/2024,471.492kWh,1.865669516
4/19/2024,680.223kWh,2.691607312
4/18/2024,310.296kWh,1.227825261
4/17/2024,633.040kWh,2.504906616
4/16/2024,915.770kWh,3.623654638
4/15/2024,812.646kWh,3.215598291
4/14/2024,641.568kWh,2.538651472
4/13/2024,647.534kWh,2.562258626
4/12/2024,907.982kWh,3.592837923
4/11/2024,794.363kWh,3.143253403
4/10/2024,640.368kWh,2.533903134
4/9/2024,688.018kWh,2.722451725
4/8/2024,528.028kWh,2.08937955
4/7/2024,775.176kWh,3.067331434
4/6/2024,874.030kWh,3.458491611
