Date,Generated,Efficiency
1/19/2024,84.876,1.69752
1/18/2024,88.427,1.76854
1/17/2024,53.323,1.06646
1/16/2024,46.111,0.92222
1/15/2024,88.244,1.76488
1/14/2024,28.957,0.57914
1/13/2024,74.688,1.49376
1/12/2024,15.106,0.30212
1/11/2024,9.74,0.1948
1/10/2024,28.788,0.57576
1/9/2024,81.959,1.63918
1/8/2024,7.478,0.14956
1/7/2024,31.656,0.63312
1/6/2024,32.203,0.64406
1/5/2024,19.636,0.39272
1/4/2024,41.226,0.82452
1/3/2024,24.054,0.48108
1/2/2024,3.054,0.06108
1/1/2024,42.578,0.85156
12/31/2023,23.775,0.4755
12/30/2023,9.8,0.196
12/29/2023,33.55,0.671
12/28/2023,24.289,0.48578
12/27/2023,2.788,0.05576
12/26/2023,43.366,0.86732
12/25/2023,14.522,0.29044
12/24/2023,10.219,0.20438
12/23/2023,33.075,0.6615
12/22/2023,15.353,0.30706
12/21/2023,33.387,0.66774
12/20/2023,13.668,0.27336
12/19/2023,7.323,0.14646
12/18/2023,30.674,0.61348
12/17/2023,30.836,0.61672
12/16/2023,69.429,1.38858
12/15/2023,19.822,0.39644
12/14/2023,29.79,0.5958
12/13/2023,10.249,0.20498
12/12/2023,14.306,0.28612
12/11/2023,16.443,0.32886
