Date,Generated,Efficiency,System Name,Location,System Size (kW)
3/30/2025,141.365kWh,2.827kWh/kW,Wray Farms,United Kingdom,50
3/29/2025,106.771kWh,2.135kWh/kW,Wray Farms,United Kingdom,50
3/28/2025,91.659kWh,1.833kWh/kW,Wray Farms,United Kingdom,50
3/27/2025,104.243kWh,2.085kWh/kW,Wray Farms,United Kingdom,50
3/26/2025,89.894kWh,1.798kWh/kW,Wray Farms,United Kingdom,50
3/25/2025,38.111kWh,0.762kWh/kW,Wray Farms,United Kingdom,50
3/24/2025,105.398kWh,2.108kWh/kW,Wray Farms,United Kingdom,50
3/23/2025,60.219kWh,1.204kWh/kW,Wray Farms,United Kingdom,50
3/22/2025,48.057kWh,0.961kWh/kW,Wray Farms,United Kingdom,50
3/21/2025,66.898kWh,1.338kWh/kW,Wray Farms,United Kingdom,50
3/20/2025,114.425kWh,2.289kWh/kW,Wray Farms,United Kingdom,50
3/19/2025,99.983kWh,2.000kWh/kW,Wray Farms,United Kingdom,50
3/18/2025,132.370kWh,2.647kWh/kW,Wray Farms,United Kingdom,50
3/17/2025,56.599kWh,1.132kWh/kW,Wray Farms,United Kingdom,50
3/16/2025,53.141kWh,1.063kWh/kW,Wray Farms,United Kingdom,50
3/15/2025,94.306kWh,1.886kWh/kW,Wray Farms,United Kingdom,50
3/14/2025,78.441kWh,1.569kWh/kW,Wray Farms,United Kingdom,50
3/13/2025,99.325kWh,1.987kWh/kW,Wray Farms,United Kingdom,50
3/12/2025,70.379kWh,1.408kWh/kW,Wray Farms,United Kingdom,50
3/11/2025,66.374kWh,1.327kWh/kW,Wray Farms,United Kingdom,50
3/10/2025,44.005kWh,0.880kWh/kW,Wray Farms,United Kingdom,50
3/9/2025,94.188kWh,1.884kWh/kW,Wray Farms,United Kingdom,50
3/8/2025,97.999kWh,1.960kWh/kW,Wray Farms,United Kingdom,50
3/7/2025,33.788kWh,0.676kWh/kW,Wray Farms,United Kingdom,50
3/6/2025,97.278kWh,1.946kWh/kW,Wray Farms,United Kingdom,50
3/5/2025,109.218kWh,2.184kWh/kW,Wray Farms,United Kingdom,50
3/4/2025,106.190kWh,2.124kWh/kW,Wray Farms,United Kingdom,50
3/3/2025,110.403kWh,2.208kWh/kW,Wray Farms,United Kingdom,50
3/2/2025,102.773kWh,2.055kWh/kW,Wray Farms,United Kingdom,50
3/1/2025,87.985kWh,1.760kWh/kW,Wray Farms,United Kingdom,50
2/28/2025,102.547kWh,2.051kWh/kW,Wray Farms,United Kingdom,50
2/27/2025,70.392kWh,1.408kWh/kW,Wray Farms,United Kingdom,50
2/26/2025,29.927kWh,0.599kWh/kW,Wray Farms,United Kingdom,50
2/25/2025,50.845kWh,1.017kWh/kW,Wray Farms,United Kingdom,50
2/24/2025,49.159kWh,0.983kWh/kW,Wray Farms,United Kingdom,50
2/23/2025,17.159kWh,0.343kWh/kW,Wray Farms,United Kingdom,50
2/22/2025,55.706kWh,1.114kWh/kW,Wray Farms,United Kingdom,50
2/21/2025,35.271kWh,0.705kWh/kW,Wray Farms,United Kingdom,50
2/20/2025,16.380kWh,0.328kWh/kW,Wray Farms,United Kingdom,50
2/19/2025,50.913kWh,1.018kWh/kW,Wray Farms,United Kingdom,50
2/18/2025,93.223kWh,1.864kWh/kW,Wray Farms,United Kingdom,50
2/17/2025,95.582kWh,1.912kWh/kW,Wray Farms,United Kingdom,50
2/16/2025,72.793kWh,1.456kWh/kW,Wray Farms,United Kingdom,50
2/15/2025,24.767kWh,0.495kWh/kW,Wray Farms,United Kingdom,50
2/14/2025,31.814kWh,0.636kWh/kW,Wray Farms,United Kingdom,50
2/13/2025,19.221kWh,0.384kWh/kW,Wray Farms,United Kingdom,50
2/12/2025,17.405kWh,0.348kWh/kW,Wray Farms,United Kingdom,50
2/11/2025,7.498kWh,0.150kWh/kW,Wray Farms,United Kingdom,50
2/10/2025,5.365kWh,0.107kWh/kW,Wray Farms,United Kingdom,50
2/9/2025,33.332kWh,0.667kWh/kW,Wray Farms,United Kingdom,50
2/8/2025,13.627kWh,0.273kWh/kW,Wray Farms,United Kingdom,50
2/7/2025,15.063kWh,0.301kWh/kW,Wray Farms,United Kingdom,50
2/6/2025,92.365kWh,1.847kWh/kW,Wray Farms,United Kingdom,50
2/5/2025,63.762kWh,1.275kWh/kW,Wray Farms,United Kingdom,50
2/4/2025,49.434kWh,0.989kWh/kW,Wray Farms,United Kingdom,50
2/3/2025,28.506kWh,0.570kWh/kW,Wray Farms,United Kingdom,50
2/2/2025,104.521kWh,2.090kWh/kW,Wray Farms,United Kingdom,50
2/1/2025,12.791kWh,0.256kWh/kW,Wray Farms,United Kingdom,50
1/31/2025,18.466kWh,0.369kWh/kW,Wray Farms,United Kingdom,50
1/30/2025,101.491kWh,2.030kWh/kW,Wray Farms,United Kingdom,50
1/29/2025,65.650kWh,1.313kWh/kW,Wray Farms,United Kingdom,50
1/28/2025,28.834kWh,0.577kWh/kW,Wray Farms,United Kingdom,50
1/27/2025,75.316kWh,1.506kWh/kW,Wray Farms,United Kingdom,50
1/26/2025,17.881kWh,0.358kWh/kW,Wray Farms,United Kingdom,50
1/25/2025,85.714kWh,1.714kWh/kW,Wray Farms,United Kingdom,50
1/24/2025,69.437kWh,1.389kWh/kW,Wray Farms,United Kingdom,50
1/23/2025,19.029kWh,0.381kWh/kW,Wray Farms,United Kingdom,50
1/22/2025,32.375kWh,0.648kWh/kW,Wray Farms,United Kingdom,50
1/21/2025,33.745kWh,0.675kWh/kW,Wray Farms,United Kingdom,50
1/20/2025,24.736kWh,0.495kWh/kW,Wray Farms,United Kingdom,50
1/19/2025,3.642kWh,0.073kWh/kW,Wray Farms,United Kingdom,50
1/18/2025,9.253kWh,0.185kWh/kW,Wray Farms,United Kingdom,50
1/17/2025,14.413kWh,0.288kWh/kW,Wray Farms,United Kingdom,50
1/16/2025,13.111kWh,0.262kWh/kW,Wray Farms,United Kingdom,50
1/15/2025,11.559kWh,0.231kWh/kW,Wray Farms,United Kingdom,50
1/14/2025,43.581kWh,0.872kWh/kW,Wray Farms,United Kingdom,50
1/13/2025,24.675kWh,0.494kWh/kW,Wray Farms,United Kingdom,50
1/12/2025,10.958kWh,0.219kWh/kW,Wray Farms,United Kingdom,50
1/11/2025,63.264kWh,1.265kWh/kW,Wray Farms,United Kingdom,50
1/10/2025,49.039kWh,0.981kWh/kW,Wray Farms,United Kingdom,50
1/9/2025,75.264kWh,1.505kWh/kW,Wray Farms,United Kingdom,50
1/8/2025,18.521kWh,0.370kWh/kW,Wray Farms,United Kingdom,50
1/7/2025,54.104kWh,1.082kWh/kW,Wray Farms,United Kingdom,50
1/6/2025,14.878kWh,0.298kWh/kW,Wray Farms,United Kingdom,50
1/5/2025,4.814kWh,0.096kWh/kW,Wray Farms,United Kingdom,50
1/4/2025,18.526kWh,0.371kWh/kW,Wray Farms,United Kingdom,50
1/3/2025,62.231kWh,1.245kWh/kW,Wray Farms,United Kingdom,50
1/2/2025,71.815kWh,1.436kWh/kW,Wray Farms,United Kingdom,50
1/1/2025,5.525kWh,0.111kWh/kW,Wray Farms,United Kingdom,50
12/31/2024,24.460kWh,0.489kWh/kW,Wray Farms,United Kingdom,50
