Date,Generated,Efficiency,System Name,Location,System Size (kW)
3/30/2025,1681.506kWh,3.316kWh/kW,siris-D-500kW,Greece,507.1
3/29/2025,598.146kWh,1.180kWh/kW,siris-D-500kW,Greece,507.1
3/28/2025,1775.921kWh,3.502kWh/kW,siris-D-500kW,Greece,507.1
3/27/2025,1866.433kWh,3.681kWh/kW,siris-D-500kW,Greece,507.1
3/26/2025,1442.651kWh,2.845kWh/kW,siris-D-500kW,Greece,507.1
3/25/2025,423.257kWh,0.835kWh/kW,siris-D-500kW,Greece,507.1
3/24/2025,602.428kWh,1.188kWh/kW,siris-D-500kW,Greece,507.1
3/23/2025,990.426kWh,1.953kWh/kW,siris-D-500kW,Greece,507.1
3/22/2025,2910.664kWh,5.740kWh/kW,siris-D-500kW,Greece,507.1
3/21/2025,3272.556kWh,6.453kWh/kW,siris-D-500kW,Greece,507.1
3/20/2025,3330.882kWh,6.568kWh/kW,siris-D-500kW,Greece,507.1
3/19/2025,3364.237kWh,6.634kWh/kW,siris-D-500kW,Greece,507.1
3/18/2025,648.469kWh,1.279kWh/kW,siris-D-500kW,Greece,507.1
3/17/2025,2546.414kWh,5.022kWh/kW,siris-D-500kW,Greece,507.1
3/16/2025,2049.607kWh,4.042kWh/kW,siris-D-500kW,Greece,507.1
3/15/2025,2451.251kWh,4.834kWh/kW,siris-D-500kW,Greece,507.1
3/14/2025,2615.160kWh,5.157kWh/kW,siris-D-500kW,Greece,507.1
3/13/2025,1994.531kWh,3.933kWh/kW,siris-D-500kW,Greece,507.1
3/12/2025,520.187kWh,1.026kWh/kW,siris-D-500kW,Greece,507.1
3/11/2025,2790.693kWh,5.503kWh/kW,siris-D-500kW,Greece,507.1
3/10/2025,3024.576kWh,5.964kWh/kW,siris-D-500kW,Greece,507.1
3/9/2025,3023.227kWh,5.962kWh/kW,siris-D-500kW,Greece,507.1
3/8/2025,3062.858kWh,6.040kWh/kW,siris-D-500kW,Greece,507.1
3/7/2025,3076.612kWh,6.067kWh/kW,siris-D-500kW,Greece,507.1
3/6/2025,3048.923kWh,6.012kWh/kW,siris-D-500kW,Greece,507.1
3/5/2025,3061.129kWh,6.037kWh/kW,siris-D-500kW,Greece,507.1
3/4/2025,2927.190kWh,5.772kWh/kW,siris-D-500kW,Greece,507.1
3/3/2025,1264.920kWh,2.494kWh/kW,siris-D-500kW,Greece,507.1
3/2/2025,710.322kWh,1.401kWh/kW,siris-D-500kW,Greece,507.1
3/1/2025,1580.152kWh,3.116kWh/kW,siris-D-500kW,Greece,507.1
2/28/2025,906.409kWh,1.787kWh/kW,siris-D-500kW,Greece,507.1
2/27/2025,1084.170kWh,2.138kWh/kW,siris-D-500kW,Greece,507.1
2/26/2025,856.262kWh,1.689kWh/kW,siris-D-500kW,Greece,507.1
2/25/2025,1790.192kWh,3.530kWh/kW,siris-D-500kW,Greece,507.1
2/24/2025,204.152kWh,0.403kWh/kW,siris-D-500kW,Greece,507.1
2/23/2025,342.912kWh,0.676kWh/kW,siris-D-500kW,Greece,507.1
2/22/2025,2039.672kWh,4.022kWh/kW,siris-D-500kW,Greece,507.1
2/21/2025,1998.143kWh,3.940kWh/kW,siris-D-500kW,Greece,507.1
2/20/2025,2637.864kWh,5.202kWh/kW,siris-D-500kW,Greece,507.1
2/19/2025,1885.023kWh,3.717kWh/kW,siris-D-500kW,Greece,507.1
2/18/2025,798.427kWh,1.574kWh/kW,siris-D-500kW,Greece,507.1
2/17/2025,266.212kWh,0.525kWh/kW,siris-D-500kW,Greece,507.1
2/16/2025,243.622kWh,0.480kWh/kW,siris-D-500kW,Greece,507.1
2/15/2025,1683.711kWh,3.320kWh/kW,siris-D-500kW,Greece,507.1
2/14/2025,450.894kWh,0.889kWh/kW,siris-D-500kW,Greece,507.1
2/13/2025,444.249kWh,0.876kWh/kW,siris-D-500kW,Greece,507.1
2/12/2025,2654.357kWh,5.234kWh/kW,siris-D-500kW,Greece,507.1
2/11/2025,2615.635kWh,5.158kWh/kW,siris-D-500kW,Greece,507.1
2/10/2025,2326.027kWh,4.587kWh/kW,siris-D-500kW,Greece,507.1
2/9/2025,2017.340kWh,3.978kWh/kW,siris-D-500kW,Greece,507.1
2/8/2025,2492.550kWh,4.915kWh/kW,siris-D-500kW,Greece,507.1
2/7/2025,2561.508kWh,5.051kWh/kW,siris-D-500kW,Greece,507.1
2/6/2025,1592.662kWh,3.141kWh/kW,siris-D-500kW,Greece,507.1
2/5/2025,2462.100kWh,4.855kWh/kW,siris-D-500kW,Greece,507.1
2/4/2025,434.327kWh,0.856kWh/kW,siris-D-500kW,Greece,507.1
2/3/2025,1691.229kWh,3.335kWh/kW,siris-D-500kW,Greece,507.1
2/2/2025,492.759kWh,0.972kWh/kW,siris-D-500kW,Greece,507.1
2/1/2025,2197.686kWh,4.334kWh/kW,siris-D-500kW,Greece,507.1
1/31/2025,1221.828kWh,2.409kWh/kW,siris-D-500kW,Greece,507.1
1/28/2025,161.820kWh,0.319kWh/kW,siris-D-500kW,Greece,507.1
1/27/2025,1586.900kWh,3.129kWh/kW,siris-D-500kW,Greece,507.1
1/26/2025,802.657kWh,1.583kWh/kW,siris-D-500kW,Greece,507.1
1/25/2025,2296.656kWh,4.529kWh/kW,siris-D-500kW,Greece,507.1
1/24/2025,845.699kWh,1.668kWh/kW,siris-D-500kW,Greece,507.1
1/23/2025,1627.192kWh,3.209kWh/kW,siris-D-500kW,Greece,507.1
1/22/2025,2101.377kWh,4.144kWh/kW,siris-D-500kW,Greece,507.1
1/21/2025,486.344kWh,0.959kWh/kW,siris-D-500kW,Greece,507.1
1/20/2025,1837.183kWh,3.623kWh/kW,siris-D-500kW,Greece,507.1
1/19/2025,2266.802kWh,4.432kWh/kW,siris-D-500kW,Greece,507.1
1/18/2025,2237.465kWh,4.374kWh/kW,siris-D-500kW,Greece,507.1
1/17/2025,2105.089kWh,4.116kWh/kW,siris-D-500kW,Greece,507.1
1/16/2025,1712.483kWh,3.348kWh/kW,siris-D-500kW,Greece,507.1
1/15/2025,474.230kWh,0.927kWh/kW,siris-D-500kW,Greece,507.1
1/14/2025,228.363kWh,0.446kWh/kW,siris-D-500kW,Greece,507.1
1/13/2025,138.671kWh,0.271kWh/kW,siris-D-500kW,Greece,507.1
1/12/2025,71.346kWh,0.139kWh/kW,siris-D-500kW,Greece,507.1
1/11/2025,964.341kWh,1.885kWh/kW,siris-D-500kW,Greece,507.1
1/10/2025,1409.816kWh,2.756kWh/kW,siris-D-500kW,Greece,507.1
1/9/2025,313.203kWh,0.612kWh/kW,siris-D-500kW,Greece,507.1
1/8/2025,1625.117kWh,3.177kWh/kW,siris-D-500kW,Greece,507.1
1/7/2025,210.894kWh,0.412kWh/kW,siris-D-500kW,Greece,507.1
1/6/2025,1213.396kWh,2.372kWh/kW,siris-D-500kW,Greece,507.1
1/5/2025,402.808kWh,0.788kWh/kW,siris-D-500kW,Greece,507.1
1/4/2025,1948.015kWh,3.808kWh/kW,siris-D-500kW,Greece,507.1
1/3/2025,1873.398kWh,3.663kWh/kW,siris-D-500kW,Greece,507.1
1/2/2025,1902.679kWh,3.720kWh/kW,siris-D-500kW,Greece,507.1
1/1/2025,2029.178kWh,3.967kWh/kW,siris-D-500kW,Greece,507.1
12/31/2024,1903.193kWh,3.721kWh/kW,siris-D-500kW,Greece,507.1
12/30/2024,1998.676kWh,3.907kWh/kW,siris-D-500kW,Greece,507.1
12/29/2024,1542.689kWh,3.016kWh/kW,siris-D-500kW,Greece,507.1
12/28/2024,1946.024kWh,3.805kWh/kW,siris-D-500kW,Greece,507.1
12/27/2024,1522.266kWh,2.976kWh/kW,siris-D-500kW,Greece,507.1
12/26/2024,147.737kWh,0.289kWh/kW,siris-D-500kW,Greece,507.1
12/25/2024,313.793kWh,0.613kWh/kW,siris-D-500kW,Greece,507.1
12/24/2024,1913.674kWh,3.741kWh/kW,siris-D-500kW,Greece,507.1
12/23/2024,732.889kWh,1.433kWh/kW,siris-D-500kW,Greece,507.1
12/22/2024,1991.531kWh,3.894kWh/kW,siris-D-500kW,Greece,507.1
12/21/2024,191.123kWh,0.374kWh/kW,siris-D-500kW,Greece,507.1
12/20/2024,875.642kWh,1.712kWh/kW,siris-D-500kW,Greece,507.1
12/19/2024,1616.551kWh,3.160kWh/kW,siris-D-500kW,Greece,507.1
12/18/2024,1961.725kWh,3.835kWh/kW,siris-D-500kW,Greece,507.1
12/17/2024,2007.734kWh,3.925kWh/kW,siris-D-500kW,Greece,507.1
12/16/2024,1889.795kWh,3.695kWh/kW,siris-D-500kW,Greece,507.1
12/15/2024,766.260kWh,1.498kWh/kW,siris-D-500kW,Greece,507.1
12/14/2024,289.473kWh,0.566kWh/kW,siris-D-500kW,Greece,507.1
12/13/2024,1998.652kWh,3.907kWh/kW,siris-D-500kW,Greece,507.1
12/12/2024,2018.122kWh,3.945kWh/kW,siris-D-500kW,Greece,507.1
12/11/2024,1903.706kWh,3.722kWh/kW,siris-D-500kW,Greece,507.1
12/10/2024,1781.021kWh,3.482kWh/kW,siris-D-500kW,Greece,507.1
12/9/2024,1407.408kWh,2.752kWh/kW,siris-D-500kW,Greece,507.1
12/8/2024,1390.040kWh,2.718kWh/kW,siris-D-500kW,Greece,507.1
12/7/2024,108.456kWh,0.212kWh/kW,siris-D-500kW,Greece,507.1
12/6/2024,523.313kWh,1.023kWh/kW,siris-D-500kW,Greece,507.1
12/5/2024,604.041kWh,1.181kWh/kW,siris-D-500kW,Greece,507.1
12/4/2024,257.488kWh,0.503kWh/kW,siris-D-500kW,Greece,507.1
12/3/2024,2028.782kWh,3.966kWh/kW,siris-D-500kW,Greece,507.1
12/2/2024,206.377kWh,0.403kWh/kW,siris-D-500kW,Greece,507.1
12/1/2024,170.495kWh,0.333kWh/kW,siris-D-500kW,Greece,507.1
11/30/2024,92.049kWh,0.180kWh/kW,siris-D-500kW,Greece,507.1
11/29/2024,821.663kWh,1.606kWh/kW,siris-D-500kW,Greece,507.1
11/28/2024,489.381kWh,0.957kWh/kW,siris-D-500kW,Greece,507.1
11/27/2024,2033.000kWh,3.975kWh/kW,siris-D-500kW,Greece,507.1
11/26/2024,2028.431kWh,3.966kWh/kW,siris-D-500kW,Greece,507.1
11/25/2024,1172.272kWh,2.292kWh/kW,siris-D-500kW,Greece,507.1
11/24/2024,2323.638kWh,4.543kWh/kW,siris-D-500kW,Greece,507.1
11/23/2024,2225.387kWh,4.351kWh/kW,siris-D-500kW,Greece,507.1
11/22/2024,888.479kWh,1.737kWh/kW,siris-D-500kW,Greece,507.1
11/21/2024,600.807kWh,1.175kWh/kW,siris-D-500kW,Greece,507.1
11/20/2024,1530.015kWh,2.991kWh/kW,siris-D-500kW,Greece,507.1
11/19/2024,2051.101kWh,4.010kWh/kW,siris-D-500kW,Greece,507.1
11/18/2024,2289.675kWh,4.476kWh/kW,siris-D-500kW,Greece,507.1
11/17/2024,2321.447kWh,4.539kWh/kW,siris-D-500kW,Greece,507.1
11/16/2024,463.586kWh,0.906kWh/kW,siris-D-500kW,Greece,507.1
11/15/2024,151.715kWh,0.297kWh/kW,siris-D-500kW,Greece,507.1
11/14/2024,220.642kWh,0.431kWh/kW,siris-D-500kW,Greece,507.1
11/13/2024,264.262kWh,0.517kWh/kW,siris-D-500kW,Greece,507.1
11/12/2024,626.576kWh,1.225kWh/kW,siris-D-500kW,Greece,507.1
11/11/2024,1864.988kWh,3.646kWh/kW,siris-D-500kW,Greece,507.1
11/10/2024,1851.644kWh,3.620kWh/kW,siris-D-500kW,Greece,507.1
11/9/2024,2432.884kWh,4.756kWh/kW,siris-D-500kW,Greece,507.1
11/8/2024,2441.614kWh,4.773kWh/kW,siris-D-500kW,Greece,507.1
11/7/2024,2429.824kWh,4.750kWh/kW,siris-D-500kW,Greece,507.1
11/6/2024,2389.663kWh,4.672kWh/kW,siris-D-500kW,Greece,507.1
11/5/2024,2290.374kWh,4.478kWh/kW,siris-D-500kW,Greece,507.1
11/4/2024,2160.391kWh,4.224kWh/kW,siris-D-500kW,Greece,507.1
11/3/2024,805.622kWh,1.575kWh/kW,siris-D-500kW,Greece,507.1
11/2/2024,2354.248kWh,4.603kWh/kW,siris-D-500kW,Greece,507.1
11/1/2024,2231.289kWh,4.362kWh/kW,siris-D-500kW,Greece,507.1
10/31/2024,1686.787kWh,3.298kWh/kW,siris-D-500kW,Greece,507.1
10/30/2024,1451.234kWh,2.837kWh/kW,siris-D-500kW,Greece,507.1
10/29/2024,2205.610kWh,4.312kWh/kW,siris-D-500kW,Greece,507.1
10/28/2024,2476.721kWh,4.842kWh/kW,siris-D-500kW,Greece,507.1
10/27/2024,2574.735kWh,5.034kWh/kW,siris-D-500kW,Greece,507.1
10/26/2024,2600.021kWh,5.083kWh/kW,siris-D-500kW,Greece,507.1
10/25/2024,2428.535kWh,4.748kWh/kW,siris-D-500kW,Greece,507.1
10/24/2024,2619.304kWh,5.121kWh/kW,siris-D-500kW,Greece,507.1
10/23/2024,2673.351kWh,5.226kWh/kW,siris-D-500kW,Greece,507.1
10/22/2024,2686.505kWh,5.252kWh/kW,siris-D-500kW,Greece,507.1
10/21/2024,2701.274kWh,5.281kWh/kW,siris-D-500kW,Greece,507.1
10/20/2024,2680.384kWh,5.240kWh/kW,siris-D-500kW,Greece,507.1
10/19/2024,2039.527kWh,3.987kWh/kW,siris-D-500kW,Greece,507.1
10/18/2024,2019.794kWh,3.949kWh/kW,siris-D-500kW,Greece,507.1
10/17/2024,1174.485kWh,2.296kWh/kW,siris-D-500kW,Greece,507.1
10/16/2024,2671.162kWh,5.222kWh/kW,siris-D-500kW,Greece,507.1
10/15/2024,2651.098kWh,5.183kWh/kW,siris-D-500kW,Greece,507.1
10/14/2024,2395.881kWh,4.684kWh/kW,siris-D-500kW,Greece,507.1
10/13/2024,1875.337kWh,3.666kWh/kW,siris-D-500kW,Greece,507.1
10/12/2024,1933.135kWh,3.779kWh/kW,siris-D-500kW,Greece,507.1
10/11/2024,1564.667kWh,3.059kWh/kW,siris-D-500kW,Greece,507.1
10/10/2024,2178.800kWh,4.260kWh/kW,siris-D-500kW,Greece,507.1
10/9/2024,1844.923kWh,3.607kWh/kW,siris-D-500kW,Greece,507.1
10/8/2024,2713.077kWh,5.304kWh/kW,siris-D-500kW,Greece,507.1
10/7/2024,2913.824kWh,5.697kWh/kW,siris-D-500kW,Greece,507.1
10/6/2024,2655.848kWh,5.192kWh/kW,siris-D-500kW,Greece,507.1
10/5/2024,726.526kWh,1.420kWh/kW,siris-D-500kW,Greece,507.1
10/4/2024,2427.581kWh,4.746kWh/kW,siris-D-500kW,Greece,507.1
10/3/2024,2838.323kWh,5.549kWh/kW,siris-D-500kW,Greece,507.1
10/2/2024,2964.281kWh,5.795kWh/kW,siris-D-500kW,Greece,507.1
10/1/2024,3098.772kWh,6.058kWh/kW,siris-D-500kW,Greece,507.1
9/30/2024,3084.847kWh,6.031kWh/kW,siris-D-500kW,Greece,507.1
9/29/2024,2055.149kWh,4.018kWh/kW,siris-D-500kW,Greece,507.1
9/28/2024,2854.589kWh,5.581kWh/kW,siris-D-500kW,Greece,507.1
9/27/2024,2879.194kWh,5.629kWh/kW,siris-D-500kW,Greece,507.1
9/26/2024,2851.743kWh,5.575kWh/kW,siris-D-500kW,Greece,507.1
9/25/2024,2877.881kWh,5.626kWh/kW,siris-D-500kW,Greece,507.1
9/24/2024,2443.381kWh,4.777kWh/kW,siris-D-500kW,Greece,507.1
9/23/2024,2991.297kWh,5.848kWh/kW,siris-D-500kW,Greece,507.1
9/22/2024,2979.650kWh,5.825kWh/kW,siris-D-500kW,Greece,507.1
9/21/2024,2847.967kWh,5.568kWh/kW,siris-D-500kW,Greece,507.1
9/20/2024,2567.080kWh,5.019kWh/kW,siris-D-500kW,Greece,507.1
9/19/2024,2125.466kWh,4.155kWh/kW,siris-D-500kW,Greece,507.1
