Date,Generated,,Efficiency
7/31/2024,"2,922.563kWh",,5.76328732
7/30/2024,"3,280.986kWh",,6.470096628
7/29/2024,"3,200.698kWh",,6.311768882
7/28/2024,"3,250.438kWh",,6.409856044
7/27/2024,"3,229.300kWh",,6.368171958
7/26/2024,"3,302.813kWh",,6.51313942
7/25/2024,"2,012.137kWh",,3.967929402
7/24/2024,"3,036.964kWh",,5.988885821
7/23/2024,"2,413.755kWh",,4.759919148
7/22/2024,"2,703.218kWh",,5.330739499
7/21/2024,"3,065.793kWh",,6.045736541
7/20/2024,"3,053.347kWh",,6.021193059
7/19/2024,"2,547.336kWh",,5.023340564
7/18/2024,"3,070.522kWh",,6.055062118
7/17/2024,"3,083.208kWh",,6.08007888
7/16/2024,"3,238.223kWh",,6.385768093
7/15/2024,"3,279.500kWh",,6.467166239
7/14/2024,"3,111.537kWh",,6.135943601
7/13/2024,"3,074.708kWh",,6.0633169
7/12/2024,"3,240.276kWh",,6.389816604
7/11/2024,"2,892.153kWh",,5.703318872
7/10/2024,"3,215.324kWh",,6.340611319
7/9/2024,"3,206.790kWh",,6.323782291
7/8/2024,"3,249.813kWh",,6.408623546
7/7/2024,"3,333.047kWh",,6.572760797
7/6/2024,"3,172.472kWh",,6.256107277
7/5/2024,"3,299.436kWh",,6.506479984
7/4/2024,"1,844.965kWh",,3.638266614
7/3/2024,"3,068.639kWh",,6.051348846
7/2/2024,"2,794.020kWh",,5.509800828
7/1/2024,"3,146.985kWh",,6.205846973
6/30/2024,"3,227.634kWh",,6.36488661
6/29/2024,"2,954.084kWh",,5.825446657
6/28/2024,"2,225.692kWh",,4.389059357
6/27/2024,"3,201.178kWh",,6.312715441
6/26/2024,"3,162.176kWh",,6.235803589
6/25/2024,"3,174.422kWh",,6.259952672
6/24/2024,"3,218.643kWh",,6.347156379
6/23/2024,"3,169.347kWh",,6.249944784
6/22/2024,"3,139.562kWh",,6.191208835
