Date,Generated,Efficiency
5/12/2024,3337.844kWh,6.582220469
5/11/2024,2135.075kWh,4.210362848
5/10/2024,509.477kWh,1.004687438
5/9/2024,2671.689kWh,5.268564386
5/8/2024,2873.511kWh,5.666556892
5/7/2024,3237.905kWh,6.385140998
5/6/2024,3421.010kWh,6.746223625
5/5/2024,3506.128kWh,6.914076119
5/4/2024,1874.201kWh,3.695919937
5/3/2024,1915.343kWh,3.777051864
5/2/2024,2843.504kWh,5.607383159
5/1/2024,2322.351kWh,4.579670676
4/30/2024,2708.015kWh,5.340199172
4/29/2024,3115.746kWh,6.144243739
4/28/2024,3278.764kWh,6.465714849
4/27/2024,2612.697kWh,5.152232301
4/26/2024,3305.524kWh,6.518485506
4/25/2024,1536.528kWh,3.03002958
4/24/2024,3073.554kWh,6.061041215
4/23/2024,601.490kWh,1.186136857
4/22/2024,1977.872kWh,3.900358904
4/21/2024,1688.383kWh,3.329487281
4/20/2024,2397.977kWh,4.728804969
4/19/2024,2129.516kWh,4.199400513
4/18/2024,3396.116kWh,6.697132715
4/17/2024,912.287kWh,1.799027805
4/16/2024,2505.983kWh,4.941792546
4/15/2024,3144.752kWh,6.201443502
4/14/2024,3146.730kWh,6.205344114
4/13/2024,2512.643kWh,4.95492605
4/12/2024,3006.657kWh,5.929120489
4/11/2024,3287.156kWh,6.482263853
4/10/2024,3296.018kWh,6.499739696
4/9/2024,3331.069kWh,6.568860185
4/8/2024,3326.346kWh,6.559546441
4/7/2024,1770.719kWh,3.491853678
4/6/2024,3057.288kWh,6.028964701
4/5/2024,2849.442kWh,5.619092881
4/4/2024,3267.667kWh,6.443831591
4/3/2024,3262.740kWh,6.434115559
